Festival,Festival_Month,Festival_Month_Num,Rank,Country,Alltime_Audience_M
Vive Latino,March,3,1,MEX,241.7
Vive Latino,March,3,2,USA,100.4
Vive Latino,March,3,3,ARG,70.6
Vive Latino,March,3,4,COL,46.5
Vive Latino,March,3,5,ESP,25.7
Vive Latino,March,3,6,BRA,25.6
Vive Latino,March,3,7,CHL,22.8
Vive Latino,March,3,8,PER,22.2
Vive Latino,March,3,9,ECU,17.8
Vive Latino,March,3,10,VEN,11.4
