Festival,Year,Festival_Month,Festival_Month_Num,Festival_Dates,Artist,Country,Overall_Rank,Genre_Rank,Genre,Subgenre_Rank,Subgenre,Festival_Performances_Last_12M
Vive Latino,2020,March,3,Mar 14-15 2020,Gera MX,MEX,682,123,Hip Hop,89,Contemporary Hip Hop,1
Vive Latino,2020,March,3,Mar 14-15 2020,Charles Ans,MEX,1736,294,Hip Hop,203,Contemporary Hip Hop,1
Vive Latino,2020,March,3,Mar 14-15 2020,Milky Chance,DEU,1824,167,Rock,40,Indie Rock,9
Vive Latino,2020,March,3,Mar 14-15 2020,Ed Maverick,MEX,1983,690,Pop,113,Indie Pop,0
Vive Latino,2020,March,3,Mar 14-15 2020,Cuarteto de Nos,URY,1986,180,Rock,89,Alternative Rock,4
Vive Latino,2020,March,3,Mar 14-15 2020,Portugal. The Man,USA,2556,241,Rock,57,Indie Rock,8
Vive Latino,2020,March,3,Mar 14-15 2020,The Cardigans,SWE,2622,250,Rock,61,Indie Rock,3
Vive Latino,2019,March,3,Mar 16-17 2019,Korn,USA,507,9,Metal,6,Alternative Metal,19
Vive Latino,2019,March,3,Mar 16-17 2019,Aleman,MEX,542,108,Hip Hop,82,Contemporary Hip Hop,1
Vive Latino,2019,March,3,Mar 16-17 2019,Juanes,COL,548,219,Pop,57,Latin Pop,4
Vive Latino,2019,March,3,Mar 16-17 2019,The 1975,GBR,782,68,Rock,12,Indie Rock,1
Vive Latino,2019,March,3,Mar 16-17 2019,Rawayana,USA,1016,9,Reggae,5,Roots Reggae,1
Vive Latino,2019,March,3,Mar 16-17 2019,LP,USA,1019,94,Rock,21,Indie Rock,0
Vive Latino,2019,March,3,Mar 16-17 2019,Santana,MEX,1138,3,Blues,5,Blues Rock,9
Vive Latino,2019,March,3,Mar 16-17 2019,Intocable,MEX,1157,215,Latin,60,Regional Mexican Music,0
Vive Latino,2019,March,3,Mar 16-17 2019,Bunbury,ESP,1179,112,Rock,79,Pop Rock,0
Vive Latino,2019,March,3,Mar 16-17 2019,Miranda!,ARG,1333,491,Pop,126,Latin Pop,0
Vive Latino,2018,March,3,Mar 17-18 2018,Gorillaz,GBR,113,9,Rock,5,Alternative Rock,1
Vive Latino,2018,March,3,Mar 17-18 2018,Cartel De Santa,MEX,238,37,Hip Hop,34,Contemporary Hip Hop,0
Vive Latino,2018,March,3,Mar 17-18 2018,Kali Uchis,COL,285,8,R&B,22,Contemporary R&B,1
Vive Latino,2018,March,3,Mar 17-18 2018,Residente,PRI,1506,251,Hip Hop,105,Alternative Hip Hop,5
Vive Latino,2018,March,3,Mar 17-18 2018,Queens of the Stone Age,USA,1771,161,Rock,77,Alternative Rock,19
Vive Latino,2018,March,3,Mar 17-18 2018,Enjambre,MEX,2250,210,Rock,52,Indie Rock,3
Vive Latino,2018,March,3,Mar 17-18 2018,Molotov,MEX,2276,213,Rock,103,Alternative Rock,10
Vive Latino,2018,March,3,Mar 17-18 2018,Panteon Rococo,MEX,2694,444,Latin,117,Regional Mexican Music,2
Vive Latino,2018,March,3,Mar 17-18 2018,Fito Paez,ARG,3031,287,Rock,188,Pop Rock,4
Vive Latino,2018,March,3,Mar 17-18 2018,La Beriso,ARG,3854,357,Rock,233,Pop Rock,0
