platform,genre,share_percent
Overall,Pop,45
Overall,Rock,16
Overall,Hip Hop,9
Overall,Other,30
YouTube,Pop,80
YouTube,Rock,13
YouTube,Hip Hop,6
YouTube,Other,1
Deezer,Pop,42
Deezer,Rock,16
Deezer,Electronic,9
Deezer,Other,33
