rank,subgenre,parent_genre,points
1,Mainstream Pop,Pop,133400
2,Contemporary R&B,R&B,129000
3,Alternative Rock,Rock,71300
4,Indie Pop,Pop,66300
5,Pop Rock,Rock,62500
6,Indie Rock,Rock,55000
7,Soul,R&B,50000
8,Progressive Rock,Rock,48300
9,Dance,Electronic,39200
10,Hard Rock,Rock,35300
