rank,city,venues,festivals,events,top_genre_1,top_genre_2,top_genre_3
1,Jakarta Utara,6,11,2,Electronic,Pop,Rock
2,Ancol Timur,6,0,14,,,
3,Jakarta,123,1,16,,,
4,Slipi,4,0,5,,,
5,Jakarta Pusat,6,4,5,,,
6,Badung,100,7,47,,,
7,Jakarta Selatan,23,2,14,,,
8,Gunung Kidul,0,1,0,,,
9,Denpasar,20,6,12,,,
10,Bandung Kota,47,4,0,,,
