section,metric,value,notes
Indonesia Overview,Radio Stations,1100,Overall
Indonesia Overview,Artists,11700,Overall
Indonesia Overview,Venues,686,Overall
Indonesia Overview,Festivals,55,Overall
Indonesia Overview,Events,69,2 years
