Festival,Festival_Month,Festival_Month_Num,Rank,Country,Alltime_Audience_M
Open'er Festival,July,7,1,USA,634.4
Open'er Festival,July,7,2,BRA,155.0
Open'er Festival,July,7,3,MEX,99.5
Open'er Festival,July,7,4,GBR,91.3
Open'er Festival,July,7,5,IND,59.4
Open'er Festival,July,7,6,ITA,49.8
Open'er Festival,July,7,7,ARG,45.5
Open'er Festival,July,7,8,COL,43.1
Open'er Festival,July,7,9,CAN,41.3
Open'er Festival,July,7,10,FRA,39.5
