platform,genre,share_percent
Overall,Pop,51
Overall,Hip Hop,17
Overall,Rock,15
Overall,Other,17
YouTube,Pop,50
YouTube,Hip Hop,18
YouTube,Rock,15
YouTube,Other,17
Deezer,Pop,67
Deezer,Hip Hop,23
Deezer,R&B,12
Deezer,Other,-2
