rank,city,venues,festivals,events,top_genre_1,top_genre_2,top_genre_3
1,Stockholm,269,13,2366,Pop,Rock,Hip Hop
2,Gothenburg,178,10,1079,,,
3,Malmo,77,6,510,,,
4,Linkoping,33,1,146,,,
5,Borgholm,12,0,45,,,
6,Råsunda,4,0,14,,,
7,Karlstad,35,2,236,,,
8,Orebro,38,0,191,,,
9,Uppsala,41,1,229,,,
10,Lidingoe,5,0,33,,,
