section,metric,value,notes
Sweden Overview,Radio Stations,251,Overall
Sweden Overview,Artists,13200,Overall
Sweden Overview,Venues,1900,Overall
Sweden Overview,Festivals,84,Overall
Sweden Overview,Events,3600,2 years
