Festival,Festival_Month,Festival_Month_Num,Rank,Country,YouTube_Views_Monthly_B,Spotify_Listeners_Monthly_M
The Governors Ball,June,6,1,USA,2.2,463.8
The Governors Ball,June,6,2,MEX,0.662,96.1
The Governors Ball,June,6,3,BRA,0.263,33.5
The Governors Ball,June,6,4,ARG,0.2354,11.0
The Governors Ball,June,6,5,IND,0.2108,16.8
The Governors Ball,June,6,6,GBR,0.1935,67.8
The Governors Ball,June,6,7,COL,0.1826,27.2
The Governors Ball,June,6,8,PHL,0.1702,39.2
The Governors Ball,June,6,9,CAN,0.1511,64.5
The Governors Ball,June,6,10,IDN,0.1415,55.3
