Festival,Festival_Month,Festival_Month_Num,Rank,Country,Alltime_Audience_M
The Governors Ball,June,6,1,USA,1000.0
The Governors Ball,June,6,2,BRA,157.6
The Governors Ball,June,6,3,MEX,129.6
The Governors Ball,June,6,4,GBR,106.8
The Governors Ball,June,6,5,COL,65.9
The Governors Ball,June,6,6,IND,62.3
The Governors Ball,June,6,7,CAN,62.2
The Governors Ball,June,6,8,ARG,55.4
The Governors Ball,June,6,9,IDN,53.1
The Governors Ball,June,6,10,PHL,51.3
