Festival,Year,Festival_Month,Festival_Month_Num,Festival_Dates,Artist,Artist_Country,Viberate_Rank_Overall,Viberate_Rank_Genre,Viberate_Rank_Subgenre,Genre,Subgenre,Festival_Performances_Last_12M
The Governors Ball,2021,June,6,"Sep 24-26",Post Malone,USA,54,7,2,Hip Hop,Alternative Hip Hop,12 Festivals
The Governors Ball,2021,June,6,"Sep 24-26",Megan Thee Stallion,USA,142,21,9,Hip Hop,Alternative Hip Hop,1 Festival
The Governors Ball,2021,June,6,"Sep 24-26",21 Savage,USA,149,22,13,Hip Hop,Trap,1 Festival
The Governors Ball,2021,June,6,"Sep 24-26",Tate McRae,CAN,166,80,60,Pop,Mainstream Pop,3 Festivals
The Governors Ball,2021,June,6,"Sep 24-26",Kehlani,USA,176,4,14,R&B,Contemporary R&B,2 Festivals
The Governors Ball,2021,June,6,"Sep 24-26",A$AP Rocky,USA,177,27,26,Hip Hop,Contemporary Hip Hop,8 Festivals
The Governors Ball,2021,June,6,"Sep 24-26",Young Thug,USA,202,29,17,Hip Hop,Trap,7 Festivals
The Governors Ball,2021,June,6,"Sep 24-26",Ellie Goulding,GBR,204,95,69,Pop,Mainstream Pop,0 Festival
The Governors Ball,2019,June,6,"May 31-Jun 2",Lil Wayne,USA,82,15,16,Hip Hop,Contemporary Hip Hop,1 Festival
The Governors Ball,2019,June,6,"May 31-Jun 2",SZA,USA,87,1,9,R&B,Contemporary R&B,0 Festival
The Governors Ball,2019,June,6,"May 31-Jun 2",Tyler the Creator,USA,207,31,29,Hip Hop,Contemporary Hip Hop,13 Festivals
The Governors Ball,2019,June,6,"May 31-Jun 2",Playboi Carti,USA,248,40,25,Hip Hop,Trap,2 Festivals
The Governors Ball,2019,June,6,"May 31-Jun 2",Major Lazer,JAM,331,14,15,Electronic,Dance,5 Festivals
The Governors Ball,2019,June,6,"May 31-Jun 2",Ty Dolla Sign,USA,334,56,43,Hip Hop,Contemporary Hip Hop,7 Festivals
The Governors Ball,2019,June,6,"May 31-Jun 2",Mitski,JPN,612,57,35,Rock,Alternative Rock,0 Festival
The Governors Ball,2019,June,6,"May 31-Jun 2",Florence + The Machine,GBR,647,246,36,Pop,Indie Pop,1 Festival
The Governors Ball,2019,June,6,"May 31-Jun 2",The Strokes,USA,717,64,7,Rock,Indie Rock,2 Festivals
The Governors Ball,2019,June,6,"May 31-Jun 2",The 1975,GBR,781,68,9,Rock,Indie Rock,1 Festival
The Governors Ball,2018,June,6,"Jun 1-3",Billie Eilish,USA,8,6,6,Pop,Mainstream Pop,0 Festival
The Governors Ball,2018,June,6,"Jun 1-3",Eminem,USA,13,2,2,Hip Hop,Contemporary Hip Hop,0 Festival
The Governors Ball,2018,June,6,"Jun 1-3",Travis Scott,USA,52,6,7,Hip Hop,Contemporary Hip Hop,3 Festivals
The Governors Ball,2018,June,6,"Jun 1-3",Post Malone,USA,54,7,2,Hip Hop,Alternative Hip Hop,12 Festivals
The Governors Ball,2018,June,6,"Jun 1-3",Shawn Mendes,CAN,75,41,38,Pop,Mainstream Pop,6 Festivals
The Governors Ball,2018,June,6,"Jun 1-3",Halsey,USA,170,83,62,Pop,Mainstream Pop,3 Festivals
The Governors Ball,2018,June,6,"Jun 1-3",Lil Uzi Vert,USA,172,26,15,Hip Hop,Trap,0 Festival
The Governors Ball,2018,June,6,"Jun 1-3",Khalid,USA,243,110,74,Pop,Mainstream Pop,2 Festivals
The Governors Ball,2018,June,6,"Jun 1-3",Kali Uchis,COL,287,8,22,R&B,Contemporary R&B,1 Festival
The Governors Ball,2018,June,6,"Jun 1-3",LANY,USA,517,210,27,Pop,Indie Pop,4 Festivals
