rank,subgenre,parent_genre,points
1,Mainstream Pop,Pop,3000000
2,Alternative Rock,Rock,1500000
3,Pop Rock,Rock,1200000
4,Indie Pop,Pop,978000
5,Contemporary Hip Hop,Hip Hop,861900
6,Disco,Pop,641400
7,Hard Rock,Rock,518200
8,Dance,Electronic,516700
9,Other European Music,European,471800
10,Punk Rock,Punk,427900
