rank,city,venues,festivals,events,top_genre_1,top_genre_2,top_genre_3
1,Katowice,49,3,317,Metal,Rock,Pop
2,Warsaw,364,7,1880,,,
3,Cracow,97,3,604,,,
4,Lodz,60,2,203,,,
5,Wroclaw,74,4,488,,,
6,Poznan,82,0,413,,,
7,Gdansk,48,4,258,,,
8,Sopot,27,0,38,,,
9,Gliwice,10,2,25,,,
10,Kazimierz Dolny,3,1,9,,,
