platform,genre,share_percent
Overall,Pop,33
Overall,Hip Hop,22
Overall,Rock,21
Overall,Other,24
YouTube,Hip Hop,44
YouTube,Pop,31
YouTube,Electronic,18
YouTube,Other,7
Deezer,Pop,35
Deezer,Rock,28
Deezer,Electronic,14
Deezer,Other,23
