section,metric,value,notes
Poland Overview,Radio Stations,462,Overall
Poland Overview,Artists,10100,Overall
Poland Overview,Venues,1700,Overall
Poland Overview,Festivals,87,Overall
Poland Overview,Events,2600,2 years
