Festival,Festival_Month,Festival_Month_Num,Rank,Country,Alltime_Audience_M
Summer Sonic Tokyo,August,8,1,USA,465.8
Summer Sonic Tokyo,August,8,2,IDN,146.5
Summer Sonic Tokyo,August,8,3,BRA,143.3
Summer Sonic Tokyo,August,8,4,MEX,98.5
Summer Sonic Tokyo,August,8,5,PHL,87.1
Summer Sonic Tokyo,August,8,6,JPN,79.9
Summer Sonic Tokyo,August,8,7,IND,75.8
Summer Sonic Tokyo,August,8,8,GBR,75.7
Summer Sonic Tokyo,August,8,9,THA,63.0
Summer Sonic Tokyo,August,8,10,COL,51.6
