Festival,Festival_Month,Festival_Month_Num,Rank,Country,YouTube_Views_Monthly_M,Spotify_Listeners_Monthly_M
Summer Sonic Tokyo,August,8,1,JPN,803.8,51.6
Summer Sonic Tokyo,August,8,2,USA,800.5,151.2
Summer Sonic Tokyo,August,8,3,MEX,235.3,32.2
Summer Sonic Tokyo,August,8,4,KOR,218.1,0.6064
Summer Sonic Tokyo,August,8,5,IDN,200.9,45.1
Summer Sonic Tokyo,August,8,6,BRA,193.9,21.5
Summer Sonic Tokyo,August,8,7,IND,167.8,11.0
Summer Sonic Tokyo,August,8,8,PHL,136.5,26.1
Summer Sonic Tokyo,August,8,9,GBR,108.8,41.9
Summer Sonic Tokyo,August,8,10,ARG,103.1,4.5
