"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"GOAT","2024-09-15","N/A","Hip Hop","N/A","N/A","WUYS","N/A","N/A","N/A","N/A","144381","N/A","N/A","N/A","N/A","3751363.705","N/A","N/A","N/A","3425055","6161305","N/A","N/A","N/A","233712","233717","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","619457","1370747","N/A","N/A","N/A","N/A","N/A"
"CORRUPÇÃO FUNK (SUPER SLOWED)","2025-01-27","N/A","Electronic","N/A","N/A","zxnc., DARKANASE, NTPV","N/A","N/A","N/A","N/A","145909","N/A","N/A","N/A","N/A","3703727.7300000004","N/A","N/A","N/A","3738566","4264202","N/A","N/A","N/A","1200734","1265610","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","7436"
"MONTAGEM NOCHE - Super Slowed","2025-06-13","N/A","Electronic","N/A","N/A","LUMIX, KXRSED","N/A","N/A","N/A","N/A","146772","N/A","N/A","N/A","N/A","3679447.3000000003","N/A","N/A","N/A","4618740","4709432","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"JUDAS FUNK! - Slowed","2024-11-11","N/A","Electronic","N/A","N/A","RVNGE, xlout, FUNK DEMON, EVO","N/A","N/A","N/A","N/A","147016","N/A","N/A","N/A","N/A","3672229.5000000005","N/A","N/A","N/A","4789716","5564693","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"ECOS DO ABISMO - Slowed","2025-01-07","N/A","Hip Hop","N/A","N/A","Flame Runner, ZIMXN","N/A","N/A","N/A","N/A","148107","N/A","N/A","N/A","N/A","3640320.000000001","N/A","N/A","N/A","4955653","6493389","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DARK AURA FUNK - Ultra Slowed","2025-11-07","N/A","Pop","N/A","N/A","elude, ZAYLO","N/A","N/A","N/A","N/A","148314","N/A","N/A","N/A","N/A","3634503.3","N/A","N/A","N/A","3411303","4222502","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","257381","406958","N/A","N/A","N/A","N/A","N/A"
"GUANO VIA","2025-07-01","N/A","Hip Hop","N/A","N/A","TWXNY, KPHK, INNXCENCE","N/A","N/A","N/A","N/A","148939","N/A","N/A","N/A","N/A","3616688.955000001","N/A","N/A","N/A","3643611","3663136","N/A","N/A","N/A","379717","980796","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","448755","457979","N/A","N/A","N/A","N/A","N/A"
"Ta na Rajada","2025-10-04","N/A","Hip Hop","N/A","N/A","Mc Magrinho, Mc Skin, MC LyC4N","N/A","N/A","N/A","N/A","149079","N/A","N/A","N/A","N/A","3612791.5","N/A","N/A","N/A","2446239","2471037","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1133847","1224072","N/A","N/A","N/A","N/A","N/A"
"HEAVENLY JUMPSTYLE - Ultra Slowed","2025-11-29","N/A","Hip Hop","N/A","N/A","TWXNY, Sxilwix, INNXCENCE","N/A","N/A","N/A","N/A","149492","N/A","N/A","N/A","N/A","3600040","N/A","N/A","N/A","3832068","3834607","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"SEQUENCIA ULTRAMORTAL 2 - SUPER SLOWED","2025-10-24","N/A","Hip Hop","N/A","N/A","Dj Rick 013, MC LyC4N","N/A","N/A","N/A","N/A","149605","N/A","N/A","N/A","N/A","3596942.3650000007","N/A","N/A","N/A","222427","230198","N/A","N/A","N/A","5497263","7995974","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
