"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"Earned It (Fifty Shades Of Grey)","1947-12-01","N/A","Hip Hop","N/A","N/A","trapnation.aze, haashimovh, lovekillsus","N/A","N/A","N/A","N/A","1628","N/A","N/A","N/A","N/A","179531406.59999996","N/A","N/A","N/A","237757941","2118229494","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Black Beatles","2016-08-12","N/A","Hip Hop","N/A","N/A","Rae Sremmurd, Gucci Mane","N/A","N/A","N/A","N/A","1639","N/A","N/A","N/A","N/A","178856528.45","N/A","N/A","N/A","137684462","1192488189","N/A","N/A","N/A","108308433","1402383635","N/A","N/A","N/A","57175","N/A","N/A","N/A","N/A","546163","13614544","N/A","N/A","N/A","N/A","N/A"
"Congratulations","2016-12-09","N/A","Hip Hop","N/A","N/A","Post Malone, Quavo","N/A","N/A","N/A","N/A","1649","N/A","N/A","N/A","N/A","178383128.555","N/A","N/A","N/A","160141215","2304778624","N/A","N/A","N/A","57137503","1800757043","N/A","N/A","N/A","20857","N/A","N/A","N/A","N/A","2113162","160580100","N/A","N/A","N/A","N/A","N/A"
"LUNA BALA - Slowed","2025-04-18","N/A","Hip Hop","N/A","N/A","Ariis, Yb Wasg'ood","N/A","N/A","N/A","N/A","1727","N/A","N/A","N/A","N/A","173557210.765","N/A","N/A","N/A","230045060","250778831","N/A","N/A","N/A","15350670","21972243","N/A","N/A","N/A","769","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"a lot","2018-12-21","N/A","Hip Hop","N/A","N/A","21 Savage","N/A","N/A","N/A","N/A","1749","N/A","N/A","N/A","N/A","172098997.98000002","N/A","N/A","N/A","130961818","1205205077","N/A","N/A","N/A","70295957","900786457","N/A","N/A","N/A","41179","N/A","N/A","N/A","N/A","3216126","90478047","N/A","N/A","N/A","9565","4004979"
"COMË N GO","2025-08-01","N/A","Hip Hop","N/A","N/A","Yeat","N/A","N/A","N/A","N/A","1760","N/A","N/A","N/A","N/A","171591255.505","N/A","N/A","N/A","182633831","184231711","N/A","N/A","N/A","21617831","22595969","N/A","N/A","N/A","4439","N/A","N/A","N/A","N/A","5533393","5644720","N/A","N/A","N/A","N/A","N/A"
"Me Ama Me Odia","2016-09-01","N/A","Latin","N/A","N/A","Revol, Ozuna, Cosculluela, Arcángel, Brytiago","N/A","N/A","N/A","N/A","1763","N/A","N/A","N/A","N/A","171497316.235","N/A","N/A","N/A","89304604","400295704","N/A","N/A","N/A","114632212","544101248","N/A","N/A","N/A","3970","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2209","1048197"
"NEW DROP","2024-06-13","N/A","Hip Hop","N/A","N/A","Don Toliver","N/A","N/A","N/A","N/A","1805","N/A","N/A","N/A","N/A","168919548.31000003","N/A","N/A","N/A","193882955","495301325","N/A","N/A","N/A","17691341","44513726","N/A","N/A","N/A","13547","N/A","N/A","N/A","N/A","3719200","9047257","N/A","N/A","N/A","N/A","N/A"
"Sigue Bailandome","2018-10-19","N/A","Latin","N/A","N/A","Yannc, Darkiel, Eladio Carrion, Brray, Myke Towers","N/A","N/A","N/A","N/A","1820","N/A","N/A","N/A","N/A","168247765.425","N/A","N/A","N/A","129596723","471478656","N/A","N/A","N/A","78985085","359804465","N/A","N/A","N/A","4532","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","6912","1365556"
"Taste (feat. Offset)","2018-05-16","N/A","Hip Hop","N/A","N/A","Tyga, Offset","N/A","N/A","N/A","N/A","1867","N/A","N/A","N/A","N/A","165682857.70999998","N/A","N/A","N/A","92619742","1561877895","N/A","N/A","N/A","145116742","2166677829","N/A","N/A","N/A","32752","N/A","N/A","N/A","N/A","2379026","91857679","N/A","N/A","N/A","N/A","N/A"
"I Was Never There","1947-12-01","N/A","Hip Hop","N/A","N/A","trapnation.aze, haashimovh, lovekillsus","N/A","N/A","N/A","N/A","1881","N/A","N/A","N/A","N/A","165126061.29999995","N/A","N/A","N/A","220032566","1446845247","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
