"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"243","Anirap","Brazil","Hip Hop","Big Indie Labels","2852","9201","15673","1548267","3614531","374001227","4061","647645","140787","1745","10000","1840000","4826716","937120228","45907","20157522","8301","691","135658","2813","0","950","290227","8511","N/A","N/A","435","109921","N/A","N/A","N/A","4","305588","8","2","2","N/A","N/A","N/A","N/A","N/A","N/A"
"244","h6itam","Spain","Hip Hop","Big Indie Labels","2874","2569","5901","228574","16482753","573275568","457938","9418592","20396945","7431","8000","368000","852586","77225253","13092","1983160","34220","N/A","N/A","N/A","N/A","422","74987","13175","N/A","N/A","119","4796","9","4336","44823","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"245","BIN","Brazil","Hip Hop","Universal Music Group, Sony Music Entertainment, Warner Music Group, Big Indie Labels","2885","1788","1080","2191444","5369505","1881148412","-122202","6580258","25767890","5083","0","1890000","924944","867156386","1937","11492398","7264","0","1400000","0","0","-5615","1978242","2838","N/A","N/A","148","434294","114","69409","137679","215","27791","123","1","18","N/A","N/A","N/A","N/A","N/A","N/A"
"246","Phyno","Nigeria","Hip Hop","Big Indie Labels, Universal Music Group","2892","6258","16917","1656323","3993144","408763959","-2224","1727697","3985089","4328","0","671000","924145","495712385","3693","2601634","2177","-1","54","1","0","3469","8140319","14588","5948","3464789","24","39989","N/A","N/A","N/A","868","10008","452","17","50","154205","6","0","0","0.07920613848165285","1.584122769633057"
"247","Jala Brat","Bosnia and Herzegovina","Hip Hop","Big Indie Labels","2897","7030","5944","1391741","9033680","1391365638","8302","1388749","1491126","1483","N/A","N/A","N/A","N/A","N/A","N/A","10067","968","271622","4050","0","636","872039","6206","-70","176912","254","313216","N/A","N/A","N/A","103","4394","1344","12","57","153562","1","0","0","0.08600299729199389","1.7200599458398775"
"248","Murda","Netherlands","Hip Hop","Big Indie Labels, Sony Music Entertainment, Warner Music Group, Universal Music Group","2914","3375","4172","1225689","7285672","2101458922","57245","4912279","13882635","3651","0","997000","3615840","1887129092","8866","9113408","10091","39","199216","4808","0","508","530590","5181","-2","7291","79","420823","N/A","N/A","N/A","145","11842","564","9","46","57752","128","34","715","7.910216492579085","157.0047892167636"
"249","Young Nudy","United States","Hip Hop","Sony Music Entertainment, Universal Music Group, BMG, Big Indie Labels, Warner Music Group","2915","1799","3006","1767397","6541411","3054768367","-55877","6289077","47837361","3141","1000","853000","1164633","817966318","8020","9502716","12894","N/A","N/A","N/A","N/A","-186","1037468","616","-208","354166","128","45286","119","276721","370227","530","11017","784","10","56","56565","96","4","57","8.280579197006297","151.07886112033756"
"250","Fridayy","United States","R&B","Universal Music Group, Sony Music Entertainment, Warner Music Group, Big Indie Labels, BMG","2946","3308","2513","524978","5070393","890555788","23455","4831931","37397490","4402","2000","736000","1935936","355911905","9717","3215771","2071","2306","1131086","127599","0","-455","1559039","25766","0","144039","61","12213","106","41295","126415","1468","46450","35","4","9","N/A","N/A","N/A","N/A","N/A","N/A"
"251","DAVA","Russian Federation","Hip Hop","Warner Music Group","2948","69387","105","119667","66349","42608651","-3310","98426","283459","3618","0","5570000","103599","927138561","767","32346694","725","6846","16982710","488563","0","1517","13508543","33019","0","1","0","555","0","2116","5347","29","111970","3","2","2","N/A","N/A","N/A","N/A","N/A","N/A"
"252","Ekipa","Poland","Hip Hop","N/A","2959","8954","3306","531742","3418928","286657203","-37375","1728184","2800989","3301","0","2410000","3103323","861201891","11759","20569458","32664","5","77886","16","0","0","506478","0","N/A","N/A","2","3118","2","776","544","79","97689","14","4","12","155564","1","0","0","0.07015197030892749","1.4030394061785496"
