"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 3m","Spotify Followers Total","Spotify Streams 3m","Spotify Streams Total","Spotify Monthly Listeners 3m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 3m","YouTube Subscribers Total","YouTube Views 3m","YouTube Views Total","YouTube Likes 3m","YouTube Likes Total","Social Rank","TikTok Followers 3m","TikTok Followers Total","TikTok Likes 3m","TikTok Views 3m","Instagram Followers 3m","Instagram Followers Total","Instagram Likes 3m","Facebook Followers 3m","Facebook Followers Total","Deezer Fans 3m","Deezer Fans Total","SoundCloud Followers 3m","SoundCloud Followers Total","SoundCloud Plays 3m","Shazam Shazams 3m","Radio Airplay Rank","Radio Airplay Spins 3m","Radio Airplay Countries with Spins 3m","Radio Airplay Stations with Spins 3m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 3m","Beatport Track Performance Points Total"
"293","Mc Oliver","Brazil","Religious","Big Indie Labels","42324","11649","971","35698","9566834","139519873","-105741","1209067","13995894","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","5983","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"294","BLXZE !","France","Electronic","Big Indie Labels","42661","36161","2295","4017","12948283","19843092","162587","696806","33701","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","78","103","0","9","54","17","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"295","FORGOTTENAGE","Russian Federation","Electronic","Big Indie Labels","42671","21518","726","148755","3989875","179460294","21190","498595","4149887","47719","600","85500","383011","12981102","3081","155921","432255","N/A","N/A","N/A","N/A","-6","1985","9","N/A","N/A","106","4179","94","9913","238503","2347","121885","282","2","3","N/A","N/A","N/A","N/A","N/A","N/A"
"296","VaporVice","India","Electronic","N/A","43062","19461","10573","69294","5939806","44752669","72497","844481","65597","N/A","N/A","N/A","N/A","N/A","N/A","N/A","329143","N/A","N/A","N/A","N/A","85","499","109","N/A","N/A","122","1111","47","290","186639","3160","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"297","zaichkou888","Germany","Electronic","N/A","43097","15080","1014","9019","9750513","170865850","-4356","1015819","2284404","N/A","N/A","N/A","N/A","N/A","N/A","N/A","572837","-1","211","-4","74","50","1169","376","N/A","N/A","N/A","N/A","N/A","N/A","N/A","4824","N/A","N/A","N/A","N/A","36656","15","0","0","21.06466591769985","25.416629852144144"
"298","DJ BRYAN 7","Brazil","Latin","Big Indie Labels, Warner Music Group","43428","24175","1393","84093","3924504","115783455","-85049","421516","1891799","41694","1300","88800","478983","5528507","6295","104938","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","41","1540","3","15","5076","3749","396103","1","1","1","N/A","N/A","N/A","N/A","N/A","N/A"
"299","Zhanbxqq","Kazakhstan","Electronic","Big Indie Labels","43596","29601","2155","6513","12714907","40386054","332644","1108377","906763","N/A","N/A","N/A","N/A","N/A","N/A","N/A","789246","N/A","N/A","N/A","N/A","1424","1513","84","N/A","N/A","64","156","0","1","62","521","N/A","N/A","N/A","N/A","4444","223","0","0","529.5600200427493","532.5286890607664"
"300","DJ EXE","Brazil","Electronic","N/A","43598","10964","2748","69465","12831474","183952009","60317","1457406","15600324","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","4004","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"301","RAIZHELL","Italy","Hip Hop","Big Indie Labels, Warner Music Group","43607","20403","1110","148274","3900791","242852811","7159","954709","7552727","28266","2000","117000","1787757","65644210","11233","682461","108448","25","18860","93","15529","-618","31892","264","-4","1470","260","7983","164","9911","429836","2680","115918","N/A","N/A","N/A","4745","207","2","54","481.8042291274482","531.5346937804693"
"302","Isolate.exe","Germany","Electronic","N/A","43650","13468","2216","85928","5206581","284915684","-15379","694796","9921792","67128","400","48500","61097","1656668","458","27489","285058","4","3070","103","13319","171","4577","158","N/A","N/A","96","5065","69","9650","344021","1404","238132","9","2","2","N/A","N/A","N/A","N/A","N/A","N/A"
"303","Lurk","United States","Hip Hop","Big Indie Labels","43779","15991","2079","27786","12292857","118448093","-13636","1100089","3206717","149141","130","1350","4121","68417","75","1603","396540","15","1266","3","0","183","1922","41","2","258","N/A","N/A","1","345","409","1149","353679","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
