rank,city,venues,festivals,events,top_genre_1,top_genre_2,top_genre_3
1,Seoul,126,9,84,Pop,Electronic,Jazz
2,Gimpo-si,2,0,9,,,
3,Incheon,8,2,11,,,
4,Boryeong-si,0,1,0,,,
5,South Korea,1,4,2,,,
6,Gwangmyeong-si,2,0,2,,,
7,Kwach'on,1,1,1,,,
8,Icheon,2,0,1,,,
9,Jindo-gun,5,0,9,,,
10,Daegu,8,2,2,,,
