Festival,Year,Festival_Month,Festival_Month_Num,Festival_Dates,Artist,Artist_Country,Viberate_Rank_Overall,Viberate_Rank_Genre,Viberate_Rank_Subgenre,Genre,Subgenre,Festival_Performances_Last_12M
Download Festival,2026,June,6,"Jun 10-14",Linkin Park,USA,34,3,1,Rock,Alternative Rock,10 Festivals
Download Festival,2026,June,6,"Jun 10-14",Guns N' Roses,USA,103,7,3,Rock,Hard Rock,7 Festivals
Download Festival,2026,June,6,"Jun 10-14",Limp Bizkit,USA,519,9,6,Metal,Alternative Metal,2 Festivals
Download Festival,2026,June,6,"Jun 10-14",Bad Omens,USA,1370,18,2,Metal,Metalcore/Deathcore,6 Festivals
Download Festival,2026,June,6,"Jun 10-14",Babymetal,JPN,1515,20,13,Metal,Alternative Metal,2 Festivals
Download Festival,2026,June,6,"Jun 10-14",The All-American Rejects,USA,2087,191,96,Rock,Alternative Rock,7 Festivals
Download Festival,2026,June,6,"Jun 10-14",Daughtry,USA,2293,214,106,Rock,Alternative Rock,6 Festivals
Download Festival,2026,June,6,"Jun 10-14",Electric Callboy,DEU,2531,33,7,Metal,Metalcore/Deathcore,16 Festivals
Download Festival,2026,June,6,"Jun 10-14",A Day To Remember,USA,2658,13,14,Punk,Pop Punk,12 Festivals
Download Festival,2026,June,6,"Jun 10-14",TX2,USA,2672,253,131,Rock,Alternative Rock,2 Festivals
Download Festival,2025,June,6,"Jun 13-15",Green Day,USA,169,1,1,Punk,Punk Rock,17 Festivals
Download Festival,2025,June,6,"Jun 13-15",Korn,USA,523,10,7,Metal,Alternative Metal,17 Festivals
Download Festival,2025,June,6,"Jun 13-15",Weezer,USA,581,48,30,Rock,Alternative Rock,22 Festivals
Download Festival,2025,June,6,"Jun 13-15",Shinedown,USA,1359,128,61,Rock,Alternative Rock,4 Festivals
Download Festival,2025,June,6,"Jun 13-15",Sleep Token,GBR,1487,19,2,Metal,Progressive Metal,4 Festivals
Download Festival,2025,June,6,"Jun 13-15",Bullet For My Valentine,GBR,2102,29,5,Metal,Metalcore/Deathcore,13 Festivals
Download Festival,2025,June,6,"Jun 13-15",Rise Against,USA,2291,11,1,Punk,Hardcore Punk,8 Festivals
Download Festival,2025,June,6,"Jun 13-15",Poppy,USA,2608,248,165,Rock,Pop Rock,14 Festivals
Download Festival,2025,June,6,"Jun 13-15",Jimmy Eat World,USA,2792,265,135,Rock,Alternative Rock,7 Festivals
Download Festival,2025,June,6,"Jun 13-15",Within Temptation,NLD,3582,42,2,Metal,Symphonic Metal,14 Festivals
Download Festival,2024,June,6,"Jun 14-16",Avenged Sevenfold,USA,407,5,2,Metal,Heavy Metal,7 Festivals
Download Festival,2024,June,6,"Jun 14-16",Fall Out Boy,USA,454,33,20,Rock,Alternative Rock,4 Festivals
Download Festival,2024,June,6,"Jun 14-16",The Offspring,USA,508,3,2,Punk,Punk Rock,5 Festivals
Download Festival,2024,June,6,"Jun 14-16",Limp Bizkit,USA,519,9,6,Metal,Alternative Metal,2 Festivals
Download Festival,2024,June,6,"Jun 14-16",Pantera,USA,1078,16,2,Metal,Groove Metal,2 Festivals
Download Festival,2024,June,6,"Jun 14-16",Bad Omens,USA,1370,18,2,Metal,Metalcore/Deathcore,6 Festivals
Download Festival,2024,June,6,"Jun 14-16",Sum 41,CAN,1478,9,5,Punk,Punk Rock,0 Festival
Download Festival,2024,June,6,"Jun 14-16",Babymetal,JPN,1515,20,13,Metal,Alternative Metal,2 Festivals
Download Festival,2024,June,6,"Jun 14-16",Queens of the Stone Age,USA,1735,155,75,Rock,Alternative Rock,19 Festivals
