Festival,Festival_Month,Festival_Month_Num,Gender,Total_M,Percentage
Coca-Cola Flow Fest CDMX,November,11,Female,976.5,51.6
Coca-Cola Flow Fest CDMX,November,11,Male,915.7,48.4
