Festival,Year,Festival_Month,Festival_Month_Num,Festival_Dates,Artist,Artist_Country,Viberate_Rank_Overall,Viberate_Rank_Genre,Viberate_Rank_Subgenre,Genre,Subgenre,Festival_Performances_Last_12M
Wacken Open Air,2022,August,8,"Aug 4-6",As I Lay Dying,USA,10375,111,37,Metal,Metalcore/Deathcore,1 Festival
Wacken Open Air,2022,August,8,"Aug 4-6",Lacuna Coil,ITA,10686,117,3,Metal,Gothic Metal,8 Festivals
Wacken Open Air,2019,August,8,"Jul 31-Aug 3",Sabaton,SWE,1541,22,1,Metal,Power Metal,1 Festival
Wacken Open Air,2019,August,8,"Jul 31-Aug 3",Bullet For My Valentine,GBR,2051,28,5,Metal,Metalcore/Deathcore,14 Festivals
Wacken Open Air,2019,August,8,"Jul 31-Aug 3",Slayer,USA,2065,29,4,Metal,Thrash Metal,3 Festivals
Wacken Open Air,2019,August,8,"Jul 31-Aug 3",Within Temptation,NLD,3650,42,2,Metal,Symphonic Metal,15 Festivals
Wacken Open Air,2019,August,8,"Jul 31-Aug 3",Anthrax,USA,5670,64,7,Metal,Thrash Metal,3 Festivals
Wacken Open Air,2019,August,8,"Jul 31-Aug 3",Parkway Drive,AUS,6175,67,19,Metal,Metalcore/Deathcore,4 Festivals
Wacken Open Air,2019,August,8,"Jul 31-Aug 3",Powerwolf,DEU,6262,68,5,Metal,Power Metal,17 Festivals
Wacken Open Air,2019,August,8,"Jul 31-Aug 3",Opeth,SWE,6713,73,7,Metal,Progressive Metal,11 Festivals
Wacken Open Air,2019,August,8,"Jul 31-Aug 3",Santiano,DEU,7752,748,98,Rock,Folk Rock,0 Festival
Wacken Open Air,2019,August,8,"Jul 31-Aug 3",Testament,USA,8579,89,10,Metal,Thrash Metal,3 Festivals
Wacken Open Air,2018,August,8,"Aug 1-4",Ghost,SWE,1245,117,32,Rock,Hard Rock,0 Festival
Wacken Open Air,2018,August,8,"Aug 1-4",Judas Priest,GBR,1821,25,12,Metal,Heavy Metal,10 Festivals
Wacken Open Air,2018,August,8,"Aug 1-4",Nightwish,FIN,2286,31,1,Metal,Symphonic Metal,0 Festival
Wacken Open Air,2018,August,8,"Aug 1-4",Electric Callboy,DEU,2481,33,7,Metal,Metalcore/Deathcore,16 Festivals
Wacken Open Air,2018,August,8,"Aug 1-4",2Cellos,HRV,3162,23,13,Classical,Classical Crossover,0 Festival
Wacken Open Air,2018,August,8,"Aug 1-4",Sepultura,BRA,3234,38,5,Metal,Thrash Metal,7 Festivals
Wacken Open Air,2018,August,8,"Aug 1-4",Gojira,FRA,4292,50,4,Metal,Progressive Metal,14 Festivals
Wacken Open Air,2018,August,8,"Aug 1-4",Nazareth,GBR,4299,408,86,Rock,Hard Rock,0 Festival
Wacken Open Air,2018,August,8,"Aug 1-4",Arch Enemy,SWE,5640,63,1,Metal,Death Metal,2 Festivals
Wacken Open Air,2018,August,8,"Aug 1-4",In Flames,SWE,6282,69,39,Metal,Alternative Metal,15 Festivals
