Festival,Festival_Month,Festival_Month_Num,Rank,Country,Alltime_Audience_M
Wacken Open Air,August,8,1,USA,53.6
Wacken Open Air,August,8,2,BRA,23.1
Wacken Open Air,August,8,3,DEU,14.1
Wacken Open Air,August,8,4,MEX,10.7
Wacken Open Air,August,8,5,GBR,9.5
Wacken Open Air,August,8,6,IDN,8.2
Wacken Open Air,August,8,7,RUS,6.7
Wacken Open Air,August,8,8,ITA,6.0
Wacken Open Air,August,8,9,CAN,5.6
Wacken Open Air,August,8,10,ARG,5.2
