"Track title","Track release date","Track label","Track genre","Track subgenre 1","Track subgenre 2","Track artists","Viberate rank 1w","Viberate rank 1m","Viberate rank 3m","Viberate rank 12m","Viberate rank Alltime","Viberate score 1w","Viberate score 1m","Viberate score 3m","Viberate score 12m","Viberate score Alltime","Spotify streams 1w","Spotify streams 1m","Spotify streams 3m","Spotify streams 12m","Spotify streams Alltime","Youtube views 1w","Youtube views 1m","Youtube views 3m","Youtube views 12m","Youtube views Alltime","Airplay spins 1w","Airplay spins 1m","Airplay spins 3m","Airplay spins 12m","Airplay spins Alltime","Soundcloud plays 1w","Soundcloud plays 1m","Soundcloud plays 3m","Soundcloud plays 12m","Soundcloud plays Alltime","Shazam shazams 1w","Shazam shazams 1m","Shazam shazams 3m","Shazam shazams 12m","Shazam shazams Alltime"
"The Real Slim Shady","2000-05-23","N/A","Hip Hop","N/A","N/A","Eminem","N/A","N/A","N/A","N/A","577","N/A","N/A","N/A","N/A","310304354.115","N/A","N/A","N/A","262166031","2431653387","N/A","N/A","N/A","162306091","1619362394","N/A","N/A","N/A","99916","N/A","N/A","N/A","N/A","146564","1438147","N/A","N/A","N/A","11788","7285891"
"Sugar On My Tongue","2025-07-20","N/A","Hip Hop","N/A","N/A","Tyler, the Creator","N/A","N/A","N/A","N/A","592","N/A","N/A","N/A","N/A","305771936.86","N/A","N/A","N/A","333653233","352512387","N/A","N/A","N/A","26136044","31796475","N/A","N/A","N/A","110503","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Apologize","2007-01-01","N/A","Pop","N/A","N/A","Timbaland, OneRepublic","N/A","N/A","N/A","N/A","594","N/A","N/A","N/A","N/A","305545823.55500007","N/A","N/A","N/A","173716842","881042861","N/A","N/A","N/A","179416595","1377666164","N/A","N/A","N/A","237187","N/A","N/A","N/A","N/A","5768","7317","N/A","N/A","N/A","N/A","N/A"
"Stereo Hearts (feat. Adam Levine)","2011-06-14","N/A","Pop","N/A","N/A","Gym Class Heroes, Adam Levine","N/A","N/A","N/A","N/A","622","N/A","N/A","N/A","N/A","299563319.42999995","N/A","N/A","N/A","239098675","1762129431","N/A","N/A","N/A","113663343","1175957432","N/A","N/A","N/A","82917","N/A","N/A","N/A","N/A","1590167","14794543","N/A","N/A","N/A","N/A","N/A"
"Down","2009-01-01","N/A","Hip Hop","N/A","N/A","Jay Sean, Lil Wayne","N/A","N/A","N/A","N/A","625","N/A","N/A","N/A","N/A","299262650.86499995","N/A","N/A","N/A","155322741","997761532","N/A","N/A","N/A","43049465","675347206","N/A","N/A","N/A","88033","N/A","N/A","N/A","N/A","457612","2098057","N/A","N/A","N/A","N/A","N/A"
"goosebumps","2016-09-15","N/A","Hip Hop","N/A","N/A","Travis Scott","N/A","N/A","N/A","N/A","641","N/A","N/A","N/A","N/A","295541476.02","N/A","N/A","N/A","287718048","3100062613","N/A","N/A","N/A","75872125","1200524326","N/A","N/A","N/A","68481","N/A","N/A","N/A","N/A","81120","83789","N/A","N/A","N/A","0","8588317"
"Nights Like This (Tik Tok)","2024-11-24","N/A","Hip Hop","N/A","N/A","shahi77","N/A","N/A","N/A","N/A","642","N/A","N/A","N/A","N/A","295328550.7","N/A","N/A","N/A","396531779","1002741737","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"God's Plan","2018-06-29","N/A","Hip Hop","N/A","N/A","Drake","N/A","N/A","N/A","N/A","659","N/A","N/A","N/A","N/A","293047191.88","N/A","N/A","N/A","276545208","3035259639","N/A","N/A","N/A","166664122","2437666586","N/A","N/A","N/A","80151","N/A","N/A","N/A","N/A","411247","16003876","N/A","N/A","N/A","0","10120549"
"Show Me Love (with Tyla)","2025-04-18","N/A","Pop","N/A","N/A","WizTheMc, bees & honey, Tyla","N/A","N/A","N/A","N/A","675","N/A","N/A","N/A","N/A","289340839.31500006","N/A","N/A","N/A","254911246","269277171","N/A","N/A","N/A","94150451","101437715","N/A","N/A","N/A","41411","N/A","N/A","N/A","N/A","163267","164113","N/A","N/A","N/A","N/A","N/A"
"Hey Ya! - Radio Mix","2003-01-01","N/A","Hip Hop","N/A","N/A","OutKast","N/A","N/A","N/A","N/A","683","N/A","N/A","N/A","N/A","286866897.195","N/A","N/A","N/A","239489876","1835686535","N/A","N/A","N/A","36784337","807554104","N/A","N/A","N/A","234994","N/A","N/A","N/A","N/A","481073","1593902","N/A","N/A","N/A","N/A","N/A"
