"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"1","Post Malone","United States","Hip Hop","Universal Music Group, Big Indie Labels, Sony Music Entertainment","45","19","48522376","55253290880","60170124","441201052","42","28700000","17740129507","141694596","273","17567382","26965297","13556192","4146149","2320118","69","3177","99","35","3421","2912.275809221997"
"2","Kanye West a.k.a Ye","United States","Hip Hop","Universal Music Group, Sony Music Entertainment, Warner Music Group, Big Indie Labels","65","39","32838363","63258644569","75235656","407640945","103","12300000","10989283651","90743210","1251","2082947","19833741","746798","4490792","1920766","612","53338","225","23","790","162.92722826508958"
"3","Sidhu Moose Wala","India","Hip Hop","Big Indie Labels, BMG","109","277","48628307","6967634702","9715721","9963165","79","30000000","15290554214","228108090","N/A","1848119","17444481","1967414","35577","N/A","3263","95031","2","1","5","4.115079832900132"
"4","Gorillaz","United Kingdom","Rock","Warner Music Group, Sony Music Entertainment","116","128","15766537","13362370569","42059357","153556256","264","13200000","6174213240","73160293","342","5733617","7471128","10255220","2945034","500155","505","255","58","14","3675","32715.693079476787"
"5","Yo Yo Honey Singh","India","Pop","Big Indie Labels, Warner Music Group","118","162","41117499","5404874337","21093382","22273718","166","8320000","15385828209","136726573","69","6960850","21018473","30593393","111108","77784","7969","100098","N/A","N/A","N/A","N/A"
"6","Juice WRLD","United States","Hip Hop","Universal Music Group, Sony Music Entertainment, Warner Music Group, Big Indie Labels","122","46","44861033","45350900108","31856359","193113689","222","13800000","11221313887","127107517","931","6260967","11522936","2802845","2466563","3755786","1652","62412","97","14","503","136.79701754777307"
"7","GIMS","France","Pop","Big Indie Labels, Sony Music Entertainment, Universal Music Group, Warner Music Group","142","478","9009497","7978227427","18409681","40194078","110","14700000","9998527521","54660401","648","6790504","4728139","11882134","6562318","77645","428","38602","212","2","56","354.92123753826826"
"8","Lil Uzi Vert","United States","Hip Hop","Warner Music Group, Universal Music Group, Big Indie Labels, Sony Music Entertainment","146","96","20205396","31877239880","34016807","285946829","539","10300000","7144172064","72993733","612","3122368","16841956","N/A","1219816","3260066","1519","43250","57","14","308","121.02644619539048"
"9","LISA (리사)","South Korea","Pop","Sony Music Entertainment, Universal Music Group","158","350","14821858","5066437326","13869975","97347676","2339","N/A","N/A","N/A","16","26940523","107192591","N/A","561854","N/A","1343","N/A","N/A","N/A","N/A","N/A"
"10","Megan Thee Stallion","United States","Hip Hop","Warner Music Group, Universal Music Group, Sony Music Entertainment, Big Indie Labels","194","281","11458015","12626534606","25492382","186729436","616","7360000","6298782750","87091136","127","17019888","32774318","8857946","912573","531215","259","38756","56","15","839","188.84769485680386"
"11","2Pac","United States","Hip Hop","Big Indie Labels, Universal Music Group","201","164","23853427","14283685333","27740427","99880553","412","9390000","5964020836","48822231","N/A","N/A","10949258","17972632","4054057","793006","495","131033","24","1","4","7.074822876957366"
"12","j-hope (제이홉)","South Korea","Pop","Big Indie Labels, Warner Music Group","208","412","20587003","4213022573","12975415","58407726","6107","N/A","N/A","N/A","35","16735818","54538346","N/A","288234","N/A","5047","N/A","N/A","N/A","N/A","N/A"
"13","Dave","United Kingdom","Hip Hop","Big Indie Labels, Warner Music Group, Sony Music Entertainment, Universal Music Group","216","299","7396992","8276808265","36572561","225155441","1353","2400000","1314799882","12815514","330","2653099","4193647","424342","519684","282671","1504","24721","156","4","186","124.13162397527819"
"14","Gunna","United States","Hip Hop","Warner Music Group, Universal Music Group, Sony Music Entertainment, Big Indie Labels, BMG","218","142","11437741","27292105150","33963981","224576561","421","3580000","6397332622","58801324","630","2746641","6198191","2123037","702349","1814527","1468","1432","159","23","908","3509.643190736653"
