"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"481","NOH.$","South Korea","Electronic","N/A","81413","64457","49","10688","89691","12107742","-6062","167202","474800","68346","300","15000","5672","868806","75","13286","822611","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","50","N/A","N/A","7","0","N/A","N/A","N/A","N/A","32096","12","0","0","25.084647737119894","25.580192192815225"
"482","Genshin","United States","Hip Hop","Big Indie Labels","81897","43660","55","99153","228506","80684633","-2095","193797","908285","170001","0","3280","498","317598","10","9802","172995","N/A","N/A","N/A","N/A","0","5","0","N/A","N/A","6","964","8","29159","3512","0","295453","4","1","1","156125","5","0","0","0.06600511540137738","1.3201023080275476"
"483","DVRKLXGHT","Russian Federation","Electronic","Sony Music Entertainment","81964","47014","43","7311","354346","41561751","18524","386840","797483","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","245","1","1640","1530","2","181260","11","1","1","N/A","N/A","N/A","N/A","N/A","N/A"
"484","SLXEPING TOKYO","Belarus","Electronic","Big Indie Labels","82061","91284","34","3210","98975","14572139","-1154","123088","215708","287228","0","155","333","16914","5","461","42421","5","3544","299","0","0","495","0","N/A","N/A","1","97","0","4","0","2","122137","26","1","1","19246","47","0","0","56.463949686606","76.06147610041633"
"485","KEDELA","Georgia","Hip Hop","Big Indie Labels","82144","83497","35","15455","67556","19781537","-2445","90815","1030171","60229","0","20300","51036","11538759","223","101384","310053","N/A","N/A","N/A","N/A","-5","4931","0","-2","226","5","620","1","5535","6066","6","154235","12","1","1","N/A","N/A","N/A","N/A","N/A","N/A"
"486","Maxximo Dj","N/A","Electronic","Other Indie / Unsigned","82417","26147","24","5893","231171","106119164","-6159","386353","1804967","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"487","TESOROX","N/A","Electronic","Big Indie Labels, Universal Music Group","82763","43457","102","21351","288531","24447927","4267","434402","904045","N/A","N/A","N/A","N/A","N/A","N/A","N/A","466298","N/A","N/A","N/A","N/A","9","298","6","N/A","N/A","3","104","0","1","36","4","N/A","N/A","N/A","N/A","15134","33","0","0","79.35514506424337","80.42722894520469"
"488","CXSMPX","Ukraine","Hip Hop","Big Indie Labels","82827","64341","49","6611","162387","15865019","813","231515","473401","78330","30","6940","16784","3549310","81","29564","497073","0","16","0","0","-1","1894","0","N/A","N/A","3","134","-1","1185","10984","0","N/A","N/A","N/A","N/A","26460","25","0","0","34.12723237301471","38.56845857495233"
"489","NEXUZ","Norway","Electronic","Big Indie Labels","82850","50081","45","5141","223072","16371918","-6902","295333","100180","N/A","N/A","N/A","N/A","N/A","N/A","N/A","724935","N/A","N/A","N/A","N/A","0","344","0","N/A","N/A","3","3908","0","61","0","N/A","N/A","N/A","N/A","N/A","81216","17","0","0","3.021905872785065","9.564918261567076"
"490","DRØNSOND","Ukraine","Electronic","Big Indie Labels","83057","52589","56","3575","229827","9137478","-147","327638","3531613","82161","0","2400","1247","303492","6","5006","512732","N/A","N/A","N/A","N/A","1","250","2","N/A","N/A","0","24","0","84","3551","0","N/A","N/A","N/A","N/A","42562","10","0","0","15.234239539857228","17.674108330484955"
"491","NY8","N/A","Electronic","N/A","83155","59586","47","4834","239160","15106144","-9779","291177","26581","N/A","N/A","N/A","N/A","N/A","N/A","N/A","792232","N/A","N/A","N/A","N/A","0","82","0","N/A","N/A","0","54","N/A","N/A","N/A","2","N/A","N/A","N/A","N/A","57053","4","0","0","8.103944487850706","8.803447201228419"
"492","DJ CHANSEY","Russian Federation","Electronic","Big Indie Labels","83336","67580","44","3449","441317","14507631","18703","471972","359768","513419","0","59","0","91","0","4","795296","0","20","0","0","0","61","0","N/A","N/A","1","139","0","871","598","1","437834","0","0","0","84835","4","0","0","2.716341506764492","5.828550455135087"
"493","DJ ZENITE","N/A","Latin","N/A","83375","31674","83","30328","365484","69195949","19204","375452","435313","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2","595","1","183","2071","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"494","DJIEGO","N/A","Electronic","Other Indie / Unsigned","83596","26159","29","4828","231171","106119164","-6091","386487","1804967","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"495","DJ-JY12","N/A","Hip Hop","N/A","84493","34566","38","8264","250962","48192884","-141","322061","147289","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2","109","N/A","N/A","N/A","66","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"496","Eqxiemxv","N/A","Hip Hop","Big Indie Labels","85226","49522","21","2592","212494","17182510","-7894","286061","91208","N/A","N/A","N/A","N/A","N/A","N/A","N/A","753624","N/A","N/A","N/A","N/A","-2","248","18","N/A","N/A","4","182","1","155","943","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"497","XdrianGM","Peru","Electronic","Big Indie Labels","85311","143605","19","8045","40133","8068222","-1861","42498","48206","58450","0","16500","0","4243342","0","86090","15629","-325","318383","6947","0","0","8729","0","N/A","N/A","0","110","-1","461","2553","1","352022","1","0","0","54114","6","0","0","9.267379903912198","11.626458863223533"
"498","Cloudymane","Russian Federation","Hip Hop","Big Indie Labels, Warner Music Group, Sony Music Entertainment","85489","53443","28","5794","185311","22139251","-6165","288501","1135807","413346","0","167","0","4422","0","198","426500","N/A","N/A","N/A","N/A","6","2856","0","N/A","N/A","0","150","4","6948","2080","0","115358","16","2","2","N/A","N/A","N/A","N/A","N/A","N/A"
"499","nocap beats","Germany","Hip Hop","Big Indie Labels","85554","39944","1","1044","206362","51435945","-709","353966","674173","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","13","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"500","Dj Tutter","Denmark","Electronic","Big Indie Labels","85583","50528","76","10918","172331","21158224","-7556","236221","37618","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","53","N/A","N/A","N/A","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
