"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1w","Spotify Followers Total","Spotify Streams 1w","Spotify Streams Total","Spotify Monthly Listeners 1w","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1w","YouTube Subscribers Total","YouTube Views 1w","YouTube Views Total","YouTube Likes 1w","YouTube Likes Total","Social Rank","TikTok Followers 1w","TikTok Followers Total","TikTok Likes 1w","TikTok Views 1w","Instagram Followers 1w","Instagram Followers Total","Instagram Likes 1w","Facebook Followers 1w","Facebook Followers Total","Deezer Fans 1w","Deezer Fans Total","SoundCloud Followers 1w","SoundCloud Followers Total","SoundCloud Plays 1w","Shazam Shazams 1w","Radio Airplay Rank","Radio Airplay Spins 1w","Radio Airplay Countries with Spins 1w","Radio Airplay Stations with Spins 1w","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1w","Beatport Track Performance Points Total"
"168","SRT Sachi!","United States","Hip Hop","N/A","84070","147614","62","6156","46680","2997713","-96","37604","30214","74958","20","3110","5192","288569","123","15889","246306","0","793","-1","0","71","19024","467","N/A","N/A","0","29","0","4553","0","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"169","Jawndarko","United States","Hip Hop","N/A","84426","223749","12","2222","4493","1669515","-339","8537","51052","244744","4","632","237","51092","5","1859","16656","-107","407695","19521","0","-3","402575","290","N/A","N/A","1","23","-1","2302","831","0","406655","0","0","0","N/A","N/A","N/A","N/A","N/A","N/A"
"170","Assalti Frontali","Italy","Hip Hop","Big Indie Labels","86371","122699","82","41318","54236","16758693","-64","43749","34890","67286","0","13400","36897","4149846","402","58641","97661","N/A","N/A","N/A","N/A","88","30356","611","0","46868","4","1877","3","374","525","0","79692","20","2","9","105025","14","0","0","1.2038848212940083","21.168760273289553"
"171","Mr. Lif","United States","Hip Hop","Big Indie Labels","86399","68352","41","49979","80955","75944143","206","56029","1425019","103542","0","225","4668","5993538","64","60612","91052","N/A","N/A","N/A","N/A","51","18088","21","0","37956","1","3415","3","5477","522","11","63065","34","5","8","64603","95","2","28","5.998178340740107","62.26059434018713"
"172","Mistaman","Italy","Hip Hop","Sony Music Entertainment","88042","92068","10","77210","57085","27240256","-381","64735","193424","106664","0","35","1958","7783574","11","100829","72017","N/A","N/A","N/A","N/A","11","29641","0","0","81535","1","15619","0","1348","51","0","264220","0","0","0","99906","19","0","0","1.4066572269775333","7.8567886874675725"
"173","Xhulooo","United States","Hip Hop","Big Indie Labels, Universal Music Group, Warner Music Group","89639","86852","95","44320","89038","65533697","-3185","63325","842281","101227","0","13200","2238","993395","43","46493","75964","-5","24593","67","0","-40","40023","50","N/A","N/A","0","249","7","41897","25156","0","417083","0","0","0","N/A","N/A","N/A","N/A","N/A","N/A"
"174","PFV","United States","Hip Hop","Big Indie Labels, Universal Music Group","89757","107578","22","22222","52827","29438870","-1230","61466","395393","71392","-100","53600","1649","7276720","12","244074","102211","0","4220","0","0","0","14419","0","-7","12918","1","657","-4","6338","4895","0","118706","19","2","3","N/A","N/A","N/A","N/A","N/A","N/A"
"175","For the Speakers","United States","Hip Hop","Other Indie / Unsigned","90275","316679","0","825","444","338949","-53","981","192449","66689","0","25800","14666","16792955","408","1155668","33394","-15","25395","1334","0","1621","163770","27409","N/A","N/A","0","7","3","315","785","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"176","MellowHype","United States","Hip Hop","Other Indie / Unsigned","91065","46499","77","199413","63604","69755164","-1340","118402","1717764","69172","0","333","3743","28450498","55","270560","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-8","20671","12","8260","0","805","0","0","174398","4","2","2","133956","21","0","0","0.2772214846857851","5.544429693715703"
"177","Buck 65","Canada","Hip Hop","Big Indie Labels, Warner Music Group, Universal Music Group","91090","139631","20","35186","17913","23379268","181","19127","148108","99881","0","10000","2919","3043134","35","21634","96175","N/A","N/A","N/A","N/A","1","3233","0","-19","50972","3","8519","3","7034","218","0","14172","293","7","20","N/A","N/A","N/A","N/A","N/A","N/A"
"178","Xasper","United States","Hip Hop","Big Indie Labels","91182","95636","60","17368","83478","12219376","-2080","82749","187539","96605","100","10900","4716","597058","146","20986","157911","0","7760","0","0","0","18755","0","N/A","N/A","1","86","16","9530","22099","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"179","Chino XL","United States","Hip Hop","Big Indie Labels, Universal Music Group","92449","125204","31","43112","76940","47401387","1331","26373","976664","65884","10","8170","16213","13118455","148","174053","65926","0","1840","0","0","-19","48521","45","-48","45003","3","2260","N/A","N/A","N/A","1","62749","67","3","8","96446","34","0","0","1.6859242410425326","18.308253214942283"
"180","Los Pakualamos","Indonesia","Hip Hop","Other Indie / Unsigned","92524","68693","43","41959","82220","21862940","-5008","125824","6491","90486","0","10700","533","1548331","2","20138","94530","N/A","N/A","N/A","N/A","21","66059","906","N/A","N/A","0","12","N/A","N/A","N/A","0","435871","N/A","0","0","N/A","N/A","N/A","N/A","N/A","N/A"
"181","Młody Arab","Poland","Hip Hop","Other Indie / Unsigned","93155","102323","434","17571","226719","5736074","12019","76100","4336","120193","0","1110","0","59447","0","1908","477889","N/A","N/A","N/A","N/A","366","8752","405","N/A","N/A","N/A","N/A","18","1309","3430","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"182","VH$","United States","Hip Hop","N/A","93293","502547","0","436","160","261791","-12","329","3281","N/A","N/A","N/A","N/A","N/A","N/A","N/A","234852","N/A","N/A","N/A","N/A","-7","8021","12","N/A","N/A","0","7","1","1227","1","0","3349","1935","2","45","N/A","N/A","N/A","N/A","N/A","N/A"
