"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 1m","Spotify Followers Total","Spotify Streams 1m","Spotify Streams Total","Spotify Monthly Listeners 1m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 1m","YouTube Subscribers Total","YouTube Views 1m","YouTube Views Total","YouTube Likes 1m","YouTube Likes Total","Social Rank","TikTok Followers 1m","TikTok Followers Total","TikTok Likes 1m","TikTok Views 1m","Instagram Followers 1m","Instagram Followers Total","Instagram Likes 1m","Facebook Followers 1m","Facebook Followers Total","Deezer Fans 1m","Deezer Fans Total","SoundCloud Followers 1m","SoundCloud Followers Total","SoundCloud Plays 1m","Shazam Shazams 1m","Radio Airplay Rank","Radio Airplay Spins 1m","Radio Airplay Countries with Spins 1m","Radio Airplay Stations with Spins 1m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 1m","Beatport Track Performance Points Total"
"463","Soul Position","United States","Hip Hop","N/A","210197","144572","76","21382","41179","9769697","2260","17531","434896","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-5","3479","10","1094","N/A","N/A","N/A","58","114525","47","6","9","N/A","N/A","N/A","N/A","N/A","N/A"
"464","Agent Blurr","United States","Hip Hop","Other Indie / Unsigned","210322","366385","28","793","2696","295976","-553","1068","28329","105114","20","1060","315","34658","7","1945","246171","13","489","93","561","4303","7954","265","N/A","N/A","0","12","0","84","1","14","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"465","Seven Trill","United States","Hip Hop","Big Indie Labels","211393","234829","22","7486","11127","6985223","-14","3507","14573","214353","10","1520","596","176680","10","3572","77370","0","831","0","0","0","19304","0","-362","145053","0","2428","1","1345","26","7","371171","2","1","1","N/A","N/A","N/A","N/A","N/A","N/A"
"466","EMC","United States","Hip Hop","Other Indie / Unsigned","213178","190044","66","17095","18052","11748072","-17","6124","296385","267415","0","291","409","396184","10","4132","278955","N/A","N/A","N/A","N/A","-8","1877","0","-6","4541","1","821","N/A","N/A","N/A","8","93441","63","4","8","N/A","N/A","N/A","N/A","N/A","N/A"
"467","That Boy A.B.","United States","Hip Hop","Other Indie / Unsigned","213480","179288","62","2926","32066","5778706","3050","16456","127146","171843","430","2960","16159","206176","785","3529","140164","4","2116","75","311","729","5788","882","-9219","1505","1","567","7","3235","23778","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"468","Josh Martinez","Canada","Pop","N/A","213672","180149","34","9292","44970","8931195","156","15154","171484","328677","N/A","N/A","N/A","N/A","N/A","N/A","217798","N/A","N/A","N/A","N/A","39","2361","55","-4","8744","15","1179","0","444","36","73","201080","11","4","4","N/A","N/A","N/A","N/A","N/A","N/A"
"469","Tone Spliff","United States","Hip Hop","Big Indie Labels, Universal Music Group","213946","259945","53","3998","64783","3956561","788","6932","255260","189210","10","1950","801","249614","20","5975","173844","N/A","N/A","N/A","N/A","238","8751","404","-3","3525","0","168","3","1004","295","22","70869","264","5","10","N/A","N/A","N/A","N/A","N/A","N/A"
"470","Eq","United States","Hip Hop","Other Indie / Unsigned","214801","143957","3","1771","50715","9484416","-1022","27680","471839","400244","-1","227","30","16666","0","340","501478","2","310","0","14","-9","1666","8","N/A","N/A","11","399","-2","7195","125","14","105626","72","3","4","N/A","N/A","N/A","N/A","N/A","N/A"
"471","Randam Luck","United States","Hip Hop","Other Indie / Unsigned","215091","178755","42","10575","31090","7132564","14","10900","178403","386794","-2","212","14","82029","0","361","568731","N/A","N/A","N/A","N/A","7","216","32","-1","1851","38","2132","1","219","116","14","215509","11","2","2","N/A","N/A","N/A","N/A","N/A","N/A"
"472","Edgar Allen Floe","United States","Hip Hop","N/A","215590","192314","30","7807","35211","2298853","-8196","12100","80556","N/A","N/A","N/A","N/A","N/A","N/A","N/A","365269","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-1","2481","1","267","N/A","N/A","N/A","20","121037","39","2","5","N/A","N/A","N/A","N/A","N/A","N/A"
"473","Wais P","United States","Hip Hop","Big Indie Labels","215809","219366","12","3239","58863","8185863","-1849","4309","355220","219434","2","930","336","276344","9","3147","82230","2","68","0","17","-1583","75682","375","1","2414","0","81","0","228","72","51","98269","28","3","6","N/A","N/A","N/A","N/A","N/A","N/A"
"474","Add-2","United States","Hip Hop","N/A","216726","216464","26","7722","11427","5702356","42","4119","225434","139814","0","2040","334","208245","9","4126","117554","N/A","N/A","N/A","N/A","306","16297","213","-14","6523","3","343","0","1396","94","30","43434","75","5","6","121968","39","0","0","0.5148399001307439","10.296798002614878"
"475","Freeboi Lamma","United Kingdom","Hip Hop","Other Indie / Unsigned","216926","421719","34","792","5235","101565","-41","1318","12694","101804","60","5910","29456","792203","159","17819","148217","29","12627","2354","5220","-22","3751","509","N/A","N/A","0","3","N/A","N/A","N/A","123","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"476","ERKI","Kosovo","Hip Hop","N/A","217821","249358","48","727","92615","1722755","-3207","11746","24452","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","141032","176","1","1","N/A","N/A","N/A","N/A","N/A","N/A"
"477","Philmore Greene","United States","Hip Hop","Big Indie Labels","218319","210620","31","3502","27976","3495628","-605","8940","126083","285037","1","660","199","80968","4","1323","204562","N/A","N/A","N/A","N/A","1451","10546","968","0","771","6","197","0","168","14","58","38538","336","3","5","N/A","N/A","N/A","N/A","N/A","N/A"
"478","Cj TopOff","United States","Hip Hop","Other Indie / Unsigned","218526","284887","296","2873","91859","1715479","5511","9396","23282","175035","60","2570","3476","166565","146","5223","174377","N/A","N/A","N/A","N/A","1369","15492","642","-3","496","1","25","28","11932","18786","370","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"479","Scarub","United States","Hip Hop","Big Indie Labels","218991","159143","52","8790","41477","8146939","231","2202","1508772","172449","0","1050","2433","1195918","39","15816","153823","N/A","N/A","N/A","N/A","860","10087","2453","-16","12159","-1","618","0","1909","908","69","262766","0","N/A","N/A","67909","104","0","0","5.235501091148917","45.79345287379012"
"480","Confidence","United States","Hip Hop","Big Indie Labels","219299","169188","79","1729","124471","5215889","30913","47706","668391","277566","-2","879","112","89236","1","1782","484879","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","472","3","197","-1","1216","254","62","176266","9","5","6","81154","48","0","0","3.0800386852756167","18.656337824286826"
"481","Yellowa","Vietnam","Hip Hop","Universal Music Group, Big Indie Labels","219767","348819","64","893","28277","330741","-14","3084","30738","139346","30","2550","4458","211251","69","8135","242334","-25","7426","93","2621","609","1706","190","-2","492","N/A","N/A","65","1096","9990","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"482","Shame Gang","United States","Hip Hop","N/A","220058","231220","86","1190","26281","540992","-44410","13523","167301","199558","10","2160","197","402399","8","5073","134568","11","847","25","604","2042","12496","1370","0","2072","1","15","1","27","88","5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"483","August Fanon","United States","Hip Hop","Big Indie Labels","220090","177166","69","2768","56937","2081770","-6665","15575","208943","N/A","N/A","N/A","N/A","N/A","N/A","N/A","101193","N/A","N/A","N/A","N/A","519","5674","222","N/A","N/A","0","43","3","3241","520","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
