"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers 3m","Spotify Followers Total","Spotify Streams 3m","Spotify Streams Total","Spotify Monthly Listeners 3m","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers 3m","YouTube Subscribers Total","YouTube Views 3m","YouTube Views Total","YouTube Likes 3m","YouTube Likes Total","Social Rank","TikTok Followers 3m","TikTok Followers Total","TikTok Likes 3m","TikTok Views 3m","Instagram Followers 3m","Instagram Followers Total","Instagram Likes 3m","Facebook Followers 3m","Facebook Followers Total","Deezer Fans 3m","Deezer Fans Total","SoundCloud Followers 3m","SoundCloud Followers Total","SoundCloud Plays 3m","Shazam Shazams 3m","Radio Airplay Rank","Radio Airplay Spins 3m","Radio Airplay Countries with Spins 3m","Radio Airplay Stations with Spins 3m","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points 3m","Beatport Track Performance Points Total"
"137","Apache 207","Germany","Hip Hop","Warner Music Group","1841","1732","31164","3342210","112901084","4552215963","-376379","4190876","12508151","5353","10000","1540000","13238634","929385384","35003","8096732","10934","-920","919124","2884","485941","0","1724174","0","920","94727","9958","743063","530","19070","108215","16917","1236","62822","35","622","90232","26","7","189","1.4710506761148456","27.728970335222588"
"138","Larray","United States","Hip Hop","Other Indie / Unsigned","1843","30080","2932","426934","1408756","94658014","-6012","170517","464288","1837","0","10000000","15621253","1234367269","478195","51740073","754","-9999","3","0","21478282","37143","6393722","2128925","-143","17056","184","6114","N/A","N/A","N/A","2217","410441","N/A","1","1","N/A","N/A","N/A","N/A","N/A","N/A"
"139","Mambo Kingz","Puerto Rico","Hip Hop","Big Indie Labels, Sony Music Entertainment, Universal Music Group","1857","636","43582","720185","317880222","8408528227","1352032","14235277","82267083","952","2000","173000","71356926","6771149268","253617","33530507","14704","0","13300","0","0","-103","887534","12045","-4185","613088","161","332382","N/A","N/A","N/A","91392","14610","3814","31","171","N/A","N/A","N/A","N/A","N/A","N/A"
"140","Lil Dicky","United States","Hip Hop","BMG","1861","2177","17003","2075207","32898083","2361415517","381888","4468991","18817155","1573","20000","8300000","20739082","2721934683","141567","34534673","4381","12400","415306","406309","791011","5195","3238029","787256","21627","1687655","958","58863","303","373899","493848","17320","9133","6291","59","302","120071","29","2","3","0.5627385876692624","11.268775227199997"
"141","Dystinct","Morocco","Hip Hop","Big Indie Labels, Universal Music Group, Sony Music Entertainment","1866","1929","55371","948812","126103501","1929747108","-986882","7500360","26210465","11639","600","57100","6479264","365708803","18103","2504516","170","139329","2623678","560461","33156093","1221985","3446750","909195","54459","180607","10340","235201","30","465","101","168227","6447","10926","59","266","70727","23","0","0","5.071467071550643","27.45630381422992"
"142","Tee Grizzley","United States","Hip Hop","Warner Music Group, Universal Music Group, Big Indie Labels, BMG","1867","1785","59824","4147520","85391847","3644153691","351000","5720263","37627058","2064","20000","2830000","32168923","2109099541","238867","21564245","3784","-451","857002","3546","437819","-25278","7681202","174075","-4061","949968","1159","64683","3617","657922","8079633","38789","3452","21509","32","251","93012","8","0","0","2.045468058319166","15.605570062818396"
"143","HIEUTHUHAI","Vietnam","Hip Hop","Universal Music Group, Warner Music Group, Big Indie Labels, Sony Music Entertainment","1869","4689","108898","2718945","61901643","746077666","192798","2011753","1563314","3918","40000","1370000","48464924","690961879","185127","3511019","1953","-55356","3370103","863036","17596541","9016","2404987","827049","-7549","2366626","58","973","2536","107950","236964","3369","N/A","N/A","N/A","N/A","125657","7","0","0","0.5448288123010294","5.885313290396828"
"144","Hector El Father","Puerto Rico","Latin","Big Indie Labels, Universal Music Group","1880","1023","134912","1375462","309517259","2194118827","-327553","14955125","79222717","2444","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1424","14092","3508","0","22438","287","194758","N/A","N/A","N/A","60579","4873","17222","37","475","N/A","N/A","N/A","N/A","N/A","N/A"
"145","MERO","Germany","Hip Hop","Big Indie Labels, Sony Music Entertainment, Warner Music Group","1885","2943","22719","2284118","85030772","2403487066","-549816","4380239","10481520","1701","10000","3560000","47316081","2066569226","107497","20177999","4024","-7831","1941824","46949","4684036","-18370","3395623","627959","-1066","176700","2737","720010","48","5324","50455","21575","6615","11357","20","175","N/A","N/A","N/A","N/A","N/A","N/A"
"146","Jamby El Favo","Puerto Rico","Hip Hop","Warner Music Group, Big Indie Labels, Universal Music Group","1888","3117","40343","2035518","83054605","1774686664","512260","4541390","11507334","1036","20000","3170000","57193898","2228225945","221025","17439287","4422","3392","758567","17881","1524893","-10304","1906678","324442","-15238","2123208","386","183385","1499","111255","1211664","22393","19121","3056","19","48","N/A","N/A","N/A","N/A","N/A","N/A"
"147","Beastie Boys","United States","Hip Hop","Universal Music Group","1889","1324","71425","3281808","90406788","3075141698","1202360","8239718","88707014","3426","20000","1110000","12299657","709192441","96646","5171827","N/A","75","59890","282","22683","31449","442064","5392","-12306","3109648","7105","676747","899","413596","290288","80198","755","95628","89","3142","66785","380","6","25","5.3345619279620715","106.35558569831127"
"148","Rochy RD","Dominican Republic","Hip Hop","Big Indie Labels, Sony Music Entertainment","1890","4330","28768","1520500","36611368","1261758818","212243","3017317","15775367","938","50000","6420000","82193129","3247697642","480866","38628844","3723","40238","1473562","242609","3179221","12176","4199876","646694","0","5075","354","39466","867","49506","686634","17503","3150","26228","34","280","N/A","N/A","N/A","N/A","N/A","N/A"
"149","Black M","France","Pop","Big Indie Labels, Sony Music Entertainment, Universal Music Group","1892","7109","19913","2025633","18291097","574475045","163903","1595628","3019691","1028","10000","5010000","15165431","2162099245","84354","14134576","2359","-5434","3491674","54293","849014","-9528","2839621","35832","32041","6639945","30707","2633673","56","7403","22578","21956","6036","10438","54","396","57956","135","2","14","8.126415040432587","127.70473187143841"
"150","88rising","United States","R&B","Warner Music Group","1909","2031","21583","1075061","53554487","2408733714","-123735","6071325","17013537","1113","10000","6450000","67083524","4100439916","303163","66678936","3952","21048","899115","305953","7799590","-3317","1610924","734965","-9155","1125524","590","53700","-19","71379","112594","11765","31806","1105","28","76","60447","7","2","109","7.017874554774924","12.632744784761877"
"151","Standly","Chile","Latin","Warner Music Group, Universal Music Group, Sony Music Entertainment, Big Indie Labels","1921","1668","52495","1455584","83804470","2387393267","1686742","7663434","50000318","1627","30000","1980000","65787983","1728491519","273844","10284373","9463","-869","1816177","51909","4542347","-29928","1584645","150031","-197","36406","298","19449","0","461","N/A","18564","10513","6376","24","151","N/A","N/A","N/A","N/A","N/A","N/A"
"152","SCH","France","Hip Hop","Big Indie Labels, Universal Music Group, Warner Music Group, Sony Music Entertainment, BMG","1922","2488","57498","2865841","129068074","4318216488","-1010638","4628206","11569964","1500","10000","3110000","28785296","2718511095","86993","17994039","3157","-300","1005066","3284","494255","-19289","2194671","313986","-6656","1388592","59445","2902606","N/A","N/A","N/A","41859","13753","2975","19","80","91610","51","0","0","2.209319463179938","29.61633052785453"
"153","Pirlo","Colombia","Hip Hop","Big Indie Labels, Warner Music Group, Universal Music Group, Sony Music Entertainment","1937","2563","183628","1300339","96973030","1090888062","-139503","5523297","13340856","1687","45000","835000","45813945","377369799","254749","3744464","1837","-2552","1082810","291442","4443826","-160","19520","12","N/A","N/A","N/A","N/A","N/A","N/A","N/A","26143","22505","1416","12","58","N/A","N/A","N/A","N/A","N/A","N/A"
"154","Naps","France","Hip Hop","Big Indie Labels, Universal Music Group, BMG, Sony Music Entertainment, Warner Music Group","1944","2504","71714","3725186","88161836","3629599899","-47555","3697394","6206536","1769","0","3810000","36754597","3104992599","97056","14812830","4330","56170","790048","456291","9516379","-8910","1012350","22576","-3356","590773","33267","2779384","1209","15236","272223","68464","12624","3627","25","107","36728","N/A","N/A","N/A","N/A","N/A"
"155","Marracash","Italy","Hip Hop","Sony Music Entertainment, Warner Music Group","1949","2352","75615","3084070","164847379","4748774866","-480638","4342126","10840608","1438","3000","900000","24609293","1628239841","51835","8134451","2800","N/A","N/A","N/A","N/A","14792","2510787","1097365","-1712","1028690","1559","312903","N/A","N/A","N/A","32483","2375","25371","15","502","65973","55","0","0","5.945684831894751","99.54933955212918"
"156","Molotov","Mexico","Rock","Warner Music Group","1950","2264","43590","2571825","70442046","2042616541","70434","4715742","18286043","2692","30000","1400000","24954969","828143046","87237","5319680","4801","3668","332184","8274","615352","2302","1034729","93450","-12138","3212072","3482","674621","0","5100","N/A","11631","4377","18221","44","624","45312","N/A","N/A","N/A","N/A","N/A"
"157","BLUEFACE","United States","Hip Hop","Big Indie Labels, Sony Music Entertainment, Warner Music Group, BMG, Universal Music Group","1951","1721","15588","6894659","77626428","3278868825","-282788","4197169","29495661","2299","20000","2370000","11190639","1035959781","122495","15386992","2091","-25960","9391114","20328","6258188","-73353","3568382","782758","-7314","1104716","1187","317839","1750","459964","3045354","49835","8898","7308","24","126","50643","36","4","89","10.982632425864939","68.64724603929652"
"158","Powfu","Canada","Hip Hop","Sony Music Entertainment, Big Indie Labels, Warner Music Group, Universal Music Group","1985","1223","28521","1529921","79910343","3734301528","-437770","7671596","63158397","1140","20000","2980000","27991279","1586924553","207743","22267503","14388","-935","1137653","14772","318418","-10524","554144","28890","-1083","99537","1951","104371","660","151843","947695","5631","5590","14937","75","617","97332","10","1","59","1.880606822557287","25.268995797722955"
"159","Tornillo","Mexico","Hip Hop","Warner Music Group, Big Indie Labels","2014","4038","59268","2141503","47234633","1200941940","207577","2980310","7446981","2013","40000","2290000","45890217","1239947057","238366","10180852","1052","-4145","5070810","396051","24656609","-51022","2212761","282166","9444","1684443","617","42713","N/A","N/A","N/A","11477","118592","251","5","10","N/A","N/A","N/A","N/A","N/A","N/A"
"160","Ken Carson","United States","Hip Hop","Universal Music Group, Sony Music Entertainment, Warner Music Group, Big Indie Labels","2036","1399","149858","3469041","275388131","4492057676","-915137","6574460","17729939","3527","22000","838000","15532314","251940135","117145","3939612","12727","N/A","N/A","N/A","N/A","-12070","2442431","0","217","35784","6519","99564","0","1470","277923","46938","23571","2522","16","49","N/A","N/A","N/A","N/A","N/A","N/A"
"161","Ezhel","Turkey","Hip Hop","Big Indie Labels, Sony Music Entertainment, Warner Music Group, Universal Music Group","2073","1758","122864","7177187","104847304","4177185022","-74016","3817053","10710685","2019","0","2060000","34009258","2683414828","67157","18188808","5728","-434","308149","2863","209051","-21295","2055255","70487","-612","124862","3166","874607","N/A","N/A","N/A","12912","9887","6610","13","69","78786","34","0","0","3.573721338836538","60.78870041883196"
"162","Motive","Turkey","Hip Hop","Sony Music Entertainment, Warner Music Group, Universal Music Group, Big Indie Labels","2077","2431","140418","1940485","359542068","2861521909","1102684","5774579","11106323","5818","35000","306000","23060135","319975807","159972","2273862","24072","12951","117442","14860","1252409","0","783524","0","N/A","N/A","974","40689","N/A","N/A","N/A","23576","35103","1112","13","27","47643","N/A","N/A","N/A","N/A","N/A"
"163","Porta","Spain","Hip Hop","Big Indie Labels","2078","6139","21439","2155872","38451724","1189637128","175745","1792846","1798014","1863","20000","6900000","22668393","1650344662","138163","19393480","3561","8217","832392","13067","2107908","4909","830261","25200","-43893","11208374","714","1170488","228","50164","75526","6836","20604","2469","17","87","N/A","N/A","N/A","N/A","N/A","N/A"
"164","Pusha T","United States","Hip Hop","Big Indie Labels, Universal Music Group, Sony Music Entertainment, Warner Music Group, BMG","2098","2120","26848","3103129","174132465","5760085067","-275099","4881174","83949290","1908","6000","717000","33949116","1529538304","303390","14645428","3773","0","11","0","10","-18236","3547653","231917","-7111","1591825","4146","304418","-971","8165020","356426","93808","11684","4991","46","213","4689","119","17","454","9.60596037610139","666.1603863084573"
"165","AYLIVA","Germany","Pop","Warner Music Group, Universal Music Group, Big Indie Labels","2137","2820","91689","2458369","105684741","2353530385","-223935","3198996","11139547","4943","33000","877000","20212528","436117029","140434","3687295","5314","2851","2143179","161491","11769835","-9699","949983","187833","N/A","N/A","5335","271288","888","16341","163247","19638","2756","32768","31","509","N/A","N/A","N/A","N/A","N/A","N/A"
