"Rank","Artist Name","Country","Genre","Label","Viberate Rank","Spotify Rank","Spotify Followers Total","Spotify Streams Total","Spotify Monthly Listeners Total","Spotify Playlist Reach Total","YouTube Rank","YouTube Subscribers Total","YouTube Views Total","YouTube Likes Total","Social Rank","TikTok Followers Total","Instagram Followers Total","Facebook Followers Total","Deezer Fans Total","SoundCloud Followers Total","Radio Airplay Rank","Beatport Rank","Beatport Tracks Total","Beatport Tracks in Top 100 Total","Beatport Days in Top 100 Total","Beatport Track Performance Points Total"
"1","Dj Samir","Brazil","Electronic","Big Indie Labels, BMG","1042","1367","338347","1448825711","13891081","38429041","1714","821000","309409834","4802108","1564","881541","15660","N/A","10182","N/A","172945","N/A","N/A","N/A","N/A","N/A"
"2","Ariis","Belgium","Hip Hop","Big Indie Labels, Warner Music Group, Sony Music Entertainment, Universal Music Group","1222","926","637753","1712057470","15044671","44876248","3876","664000","11605397","262824","12287","239393","25769","N/A","20947","6152","127784","N/A","N/A","N/A","N/A","N/A"
"3","Scythermane","United States","Hip Hop","Big Indie Labels, Universal Music Group, Warner Music Group","1245","1144","302188","1464638909","8647551","29626986","13867","294000","31939613","416955","109705","N/A","17084","N/A","5966","16521","377416","5966","148","1","6","346.5157020685014"
"4","DJ FKU","United States","Hip Hop","Big Indie Labels","1403","2531","521949","1463528702","7623928","25827902","1636","536000","409106052","6911684","4185","149253","23808","N/A","22498","N/A","67748","8441","104","0","0","239.98249990981537"
"5","MC GW","Brazil","Latin","Big Indie Labels, BMG, Universal Music Group, Warner Music Group, Sony Music Entertainment","1579","834","1637544","5262985660","21451665","102237771","3305","483000","953937752","10566016","6579","681243","1572755","155413","325103","6691","21309","2136","1554","3","75","1917.7181178358062"
"6","NXGHT!","Indonesia","Electronic","Big Indie Labels","1698","1696","220760","660770458","5165485","24641689","23558","210000","6933948","111136","171246","N/A","14016","N/A","6732","4896","N/A","9985","61","0","0","150.2267681135432"
"7","ZXKAI","Brazil","Hip Hop","Big Indie Labels","2062","1423","411489","590274832","17093678","27795164","N/A","N/A","N/A","N/A","644933","N/A","11024","N/A","10168","547","N/A","N/A","N/A","N/A","N/A","N/A"
"8","Sayfalse","United Kingdom","Hip Hop","Big Indie Labels","2246","1174","408528","1743756947","13743979","34462726","6748","523000","9480775","140899","104398","110","50934","N/A","10867","2584","75892","N/A","N/A","N/A","N/A","N/A"
"9","Eternxlkz","Kazakhstan","Electronic","N/A","2303","2675","645954","1023974932","5400683","39020478","2030","1080000","581576659","6481221","3525","257073","261686","N/A","29168","N/A","102878","N/A","N/A","N/A","N/A","N/A"
"10","QMIIR","United States","Electronic","Big Indie Labels","2602","3608","107292","240504110","7403717","25621567","5863","506000","296450860","12129863","485049","N/A","27521","N/A","1762","138","92337","5169","180","0","0","460.07980830604157"
"11","Ogryzek","Poland","Electronic","Big Indie Labels","2824","2576","635880","922413097","6045751","28083371","3234","696000","363973909","3662385","84645","N/A","65078","N/A","19003","3","59486","N/A","N/A","N/A","N/A","N/A"
"12","MXZI","United Kingdom","Electronic","Big Indie Labels, Universal Music Group","2840","846","600568","1861755435","15716351","48690464","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9363","993","N/A","9142","79","0","0","171.22810492881345"
"13","h6itam","Spain","Hip Hop","Big Indie Labels","2874","2569","228574","573275568","9418592","20396945","7431","368000","77225253","1983160","34220","N/A","74987","N/A","4796","4336","N/A","N/A","N/A","N/A","N/A","N/A"
