Festival,Festival_Month,Festival_Month_Num,Rank,Country,Alltime_Audience_M
Fuji Rock Festival,July,7,1,USA,223.0
Fuji Rock Festival,July,7,2,BRA,66.0
Fuji Rock Festival,July,7,3,GBR,51.3
Fuji Rock Festival,July,7,4,IND,34.7
Fuji Rock Festival,July,7,5,JPN,34.1
Fuji Rock Festival,July,7,6,IDN,31.6
Fuji Rock Festival,July,7,7,MEX,30.4
Fuji Rock Festival,July,7,8,ITA,21.1
Fuji Rock Festival,July,7,9,CAN,19.2
Fuji Rock Festival,July,7,10,PHL,18.1
