Festival,Festival_Month,Festival_Month_Num,Rank,Country,Alltime_Audience_M
Ultra Music Festival Miami,March,3,1,USA,152.6
Ultra Music Festival Miami,March,3,2,BRA,72.8
Ultra Music Festival Miami,March,3,3,IND,58.8
Ultra Music Festival Miami,March,3,4,MEX,40.4
Ultra Music Festival Miami,March,3,5,IDN,37.4
Ultra Music Festival Miami,March,3,6,GBR,32.0
Ultra Music Festival Miami,March,3,7,ITA,27.1
Ultra Music Festival Miami,March,3,8,FRA,21.0
Ultra Music Festival Miami,March,3,9,DEU,19.4
Ultra Music Festival Miami,March,3,10,ESP,18.5
