Festival,Festival_Month,Festival_Month_Num,Category,Segment,Value_Absolute_B,Value_Percent
Ultra Music Festival Miami,March,3,Gender,Male,0.5564,63.8
Ultra Music Festival Miami,March,3,Gender,Female,0.3152,36.2
