Festival,Festival_Month,Festival_Month_Num,Rank,Country,Alltime_Audience_B
Lollapalooza,July/August,7,1,USA,1.9
Lollapalooza,July/August,7,2,BRA,0.42
Lollapalooza,July/August,7,3,MEX,0.25
Lollapalooza,July/August,7,4,GBR,0.22
Lollapalooza,July/August,7,5,IDN,0.16
Lollapalooza,July/August,7,6,IND,0.16
Lollapalooza,July/August,7,7,PHL,0.13
Lollapalooza,July/August,7,8,CAN,0.12
Lollapalooza,July/August,7,9,ITA,0.11
Lollapalooza,July/August,7,10,COL,0.11
