Festival,Festival_Month,Festival_Month_Num,Rank,Country,YouTube_Views_Monthly_B,Spotify_Listeners_Monthly_M
Lollapalooza,July/August,7,1,USA,3.7,854.3
Lollapalooza,July/August,7,2,MEX,0.78,108.2
Lollapalooza,July/August,7,3,BRA,0.61,77.0
Lollapalooza,July/August,7,4,IND,0.44,32.9
Lollapalooza,July/August,7,5,GBR,0.38,133.5
Lollapalooza,July/August,7,6,IDN,0.37,121.5
Lollapalooza,July/August,7,7,PHL,0.36,75.4
Lollapalooza,July/August,7,8,ARG,0.28,13.5
Lollapalooza,July/August,7,9,CAN,0.28,127.0
Lollapalooza,July/August,7,10,KOR,0.24,0.36
