Festival,Festival_Month,Festival_Month_Num,Category,Segment,Value_Absolute_B,Value_Percent
Lollapalooza,July/August,7,Gender,Female,3.2,55.0
Lollapalooza,July/August,7,Gender,Male,2.6,45.0
