platform,genre,share_percent
Overall,Pop,47
Overall,Rock,18
Overall,Hip Hop,15
Overall,Other,20
YouTube,Pop,46
YouTube,Rock,19
YouTube,Hip Hop,15
YouTube,Other,20
Deezer,Pop,75
Deezer,Hip Hop,17
Deezer,R&B,9
Deezer,Other,-1
