rank,city,venues,festivals,events
1,Melbourne,535,29,5412
2,Sydney,445,24,3646
3,Brisbane,201,20,2447
4,Perth,209,13,1721
5,Adelaide,173,9,1379
6,Pyrmont,5,0,62
7,Hindmarsh Valley,3,0,42
8,Whittlesea,14,0,134
9,Gold Coast,101,12,670
10,Canberra,73,4,424
