rank,subgenre,parent_genre,points_million
1,Mainstream Pop,Pop,8.7
2,Indie Pop,Pop,5.2
3,Alternative Rock,Rock,4.9
4,Indie Rock,Rock,3.4
5,Pop Rock,Rock,2.9
6,Contemporary Country,Country,2.9
7,Dance,Electronic,1.8
8,Contemporary Hip Hop,Hip Hop,1.8
9,Folk Rock,Rock,1.4
10,Contemporary R&B,R&B,1.4
