genre,share_percent,size,size_share_percent
Pop,21,Medium,34
Pop,21,Big,24
Pop,21,Huge,23
Pop,21,Other,19
Electronic,21,Huge,34
Electronic,21,Big,23
Electronic,21,Medium,20
Electronic,21,Other,23
Rock,18,Medium,38
Rock,18,Small,20
Rock,18,Huge,18
Rock,18,Other,24
Other,40,,
