rank,city,venues,festivals,events
1,Madrid,674,35,4558
2,Barcelona,589,35,4637
3,Sant Antoni de Portmany,40,6,1451
4,Eivissa,48,1,1011
5,Valencia,387,11,904
6,Marbella,71,1,225
7,Sant Josep de sa Talaia,28,2,518
8,Seville,173,9,513
9,Murcia,87,9,313
10,Granada,99,5,348
