rank,subgenre,parent_genre,points_million
1,Latin Pop,Pop,9.5
2,Mainstream Pop,Pop,5.2
3,House,Electronic,4.6
4,Pop Rock,Rock,4.5
5,Indie Pop,Pop,4.5
6,Alternative Rock,Rock,3.7
7,Flamenco,European,3.6
8,Dance,Electronic,3.2
9,Other Latin Music,Latin,2.7
10,Reggaeton,Latin,2.4
