platform,genre,share_percent
Overall,Pop,36
Overall,Latin,25
Overall,Rock,14
Overall,Other,25
YouTube,Latin,36
YouTube,Pop,35
YouTube,Hip Hop,15
YouTube,Other,14
Deezer,Pop,41
Deezer,Rock,26
Deezer,Latin,10
Deezer,Other,23
