"Playlist title","Playlist type","Playlist curator","Playlist genres","Playlist subgenres","Spotify tracks Alltime","Spotify followers growth 1m","Spotify followers Alltime"
"Soft 90s","Editorial","Spotify","Pop, Rock, R&B","Mainstream Pop","150","26367","1793207"
"Viral 50 - Global","Charts","Spotify","Pop, Rock","Indie Pop","50","1440","1787589"
"This Is Arctic Monkeys","This Is ...","Spotify","Rock","Indie Pop, Indie Rock","50","2584","1757061"
"Grunge Forever","Editorial","Spotify","Rock","Alternative Rock, Hard Rock","60","2968","1755590"
"Yacht Rock","Editorial","Spotify","Rock","Folk Rock, Pop Rock","140","12516","1755090"
"Roots Rising","Editorial","Spotify","Pop, Rock, Country","Indie Pop, Indie Rock","100","-4032","1709769"
"Hanging Out & Relaxing","Editorial","Spotify","Rock, Pop","Indie Pop, Indie Rock","100","-2695","1694540"
"Queen: Best Of","Indie Curator","Queen","Rock","Hard Rock, Pop Rock","83","3036","1693627"
"Soft 80s","Editorial","Spotify","Rock, Pop, R&B","Mainstream Pop, Pop Rock","150","12080","1683255"
"Winter Acoustic","Editorial","Spotify","Pop, Rock","Indie Pop, Indie Rock","71","-6368","1669081"
"Karaoke 2025","Editorial","Spotify","Pop, Rock","Mainstream Pop","200","-2883","1652674"
"Kickass Metal","Editorial","Spotify","Metal, Rock","Metalcore/Deathcore","80","1542","1640549"
"Hora Acústica","Editorial","Spotify","Rock, Pop","Pop Rock, Nova MPB","60","-2425","1625095"
"Classic Punk","Editorial","Spotify","Punk, Rock","Punk Rock","100","371","1602571"
"Legendary Guitar Solos","Editorial","Spotify","Rock, Blues","Hard Rock","50","4960","1577279"
"This Is Guns N' Roses","This Is ...","Spotify","Rock","Alternative Rock, Hard Rock","49","2364","1568572"
"This Is Pink Floyd","This Is ...","Spotify","Rock","Psychedelic Rock, Progressive Rock","42","3376","1558811"
"Viaje en Carretera Nostalgia","Editorial","Spotify","Rock, Pop","Alternative Rock, Latin Pop, Pop Rock","100","4031","1557315"
"Los 2000 México","Editorial","Spotify","Pop, Rock","Latin Pop","100","5862","1553883"
"Heavy Ballads","Editorial","Spotify","Rock, Metal","Hard Rock, Heavy Metal","100","5950","1538369"
"Easy 80s","Editorial","Spotify","Rock, Pop","Mainstream Pop, Pop Rock","80","1127","1510387"
"One More Rep","Editorial","Spotify","Rock, Metal","Alternative Rock","60","6629","1502373"
"90s Pop Rock","Editorial","Spotify","Rock","Alternative Rock, Pop Rock","100","5268","1489470"
