"Playlist title","Playlist type","Playlist curator","Playlist genres","Playlist subgenres","Spotify tracks Alltime","Spotify followers growth 1m","Spotify followers Alltime"
"Rock Classics","Editorial","Spotify","Rock, Metal","Heavy Metal, Psychedelic Rock, Progressive Rock","200","304889","13028140"
"Metal Essentials","Editorial","Spotify","Metal","Heavy Metal","100","-1943","3764532"
"Heavy Workout","Editorial","Spotify","Metal, Rock","Metalcore/Deathcore, Alternative Metal","100","1734","2502729"
"80s Hard Rock","Editorial","Spotify","Rock, Metal","Hard Rock, Glam Metal","100","4226","2332394"
"Nu Metal Era","Editorial","Spotify","Metal, Rock","Alternative Metal, Nu Metal","80","22518","2229190"
"This Is Metallica","This Is ...","Spotify","Metal","Thrash Metal, Heavy Metal","50","4680","2102786"
"Kickass Metal","Editorial","Spotify","Metal, Rock","Metalcore/Deathcore","80","1542","1640549"
"Heavy Ballads","Editorial","Spotify","Rock, Metal","Hard Rock, Heavy Metal","100","5950","1538369"
"One More Rep","Editorial","Spotify","Rock, Metal","Alternative Rock","60","6629","1502373"
"This Is Rammstein","This Is ...","Spotify","Metal","Alternative Metal, Industrial Metal","50","2560","1427041"
"Heavy Metal","Editorial","Spotify","Metal","Metalcore/Deathcore, Heavy Metal","200","4021","1405385"
"90s Metal Classics","Editorial","Spotify","Metal, Rock","Alternative Metal","100","11758","1393152"
"00s Metal Classics","Editorial","Spotify","Metal","Alternative Rock, Metalcore/Deathcore","100","8418","1373428"
"Acoustic Rock","Editorial","Spotify","Metal, Classical","Alternative Rock, Orchestral, Alternative Metal","50","2488","1082637"
"This Is Slipknot","This Is ...","Spotify","Metal","Alternative Metal, Nu Metal","48","2984","1071368"
"This Is System Of A Down","This Is ...","Spotify","Metal","Alternative Metal, Nu Metal","34","5081","1060484"
"VOLUME","Editorial","Spotify","Rock, Metal","Alternative Rock","100","-44","953487"
"The Core","Editorial","Spotify","Metal, Rock","Metalcore/Deathcore","200","292","946808"
"Volume Máximo","Editorial","Spotify","Rock, Metal, Punk","Alternative Rock","75","-2697","931938"
"This Is Iron Maiden","This Is ...","Spotify","Metal","Heavy Metal","50","2095","829488"
"Epic & Melodic","Editorial","Spotify","Metal","Power Metal, Symphonic Metal","100","1322","819117"
"GYM MUSIC 2026 - Heavy Lifting💪","Indie Curator","Music-Hits_.","Rock, Metal","Alternative Rock, Symphonic Metal","211","18170","792738"
"All New Metal","Editorial","Spotify","Metal, Rock","Metalcore/Deathcore","100","2279","785484"
"Women of Metal","Editorial","Spotify","Metal, Rock","Metalcore/Deathcore","100","4705","775981"
"Rock Covers","Editorial","Spotify","Rock, Metal","Alternative Rock","100","3281","757945"
"Extreme Metal Workout","Editorial","Spotify","Metal","Metalcore/Deathcore","120","2058","712878"
"Ultimate Rock Gaming","Editorial","Spotify","Rock, Metal","Alternative Rock","100","3300","696521"
"Attack on Titan","Editorial","Spotify","Metal, Pop","Progressive Metal, j-pop, Anime","61","1689","607082"
"Rock Drive","Editorial","Spotify","Rock, Metal","Indie Rock, Alternative Metal, Garage Rock","125","3695","590150"
"Thrashers","Editorial","Spotify","Metal","Thrash Metal","200","836","582659"
"Northern Spirits","Editorial","Spotify","Metal, European","Alternative Rock, Folk Metal, Nordic Folk","75","2814","580190"
"This Is Five Finger Death Punch","This Is ...","Spotify","Metal","Heavy Metal, Groove Metal","48","516","569386"
"The Rock Workout","Editorial","Spotify","Metal, Rock","Metalcore/Deathcore","50","504","569378"
"Progressive Metal","Editorial","Spotify","Metal, Rock","Progressive Metal","150","885","567286"
"This Is Korn","This Is ...","Spotify","Metal","Alternative Metal, Nu Metal","50","2150","561267"
"Metalcore Classics","Editorial","Spotify","Metal","Metalcore/Deathcore","70","4195","555544"
"Blood, Sweat & Cheers","Editorial","Spotify","Metal","Metalcore/Deathcore, Alternative Metal","100","-124","553533"
"Energy Booster: Metal","Editorial","Spotify","Metal, Rock","Metalcore/Deathcore","150","4409","552670"
"Stoner Rock","Editorial","Spotify","Rock, Metal","Stoner Rock","100","166","546515"
"This Is Avenged Sevenfold","This Is ...","Spotify","Metal","Hard Rock, Heavy Metal","50","2242","543857"
"Chaos Anthems","Editorial","Spotify","Rock, Punk, Metal","Alternative Rock, Post Hardcore","100","1511","530794"
"This Is Bring Me The Horizon","This Is ...","Spotify","Metal, Electronic","Alternative Rock, Metalcore/Deathcore, Downtempo","46","2433","502481"
"This Is Black Sabbath","This Is ...","Spotify","Metal","Heavy Metal, Doom/Sludge Metal","50","1758","497426"
"The Pit","Editorial","Spotify","Metal, Rock","Metalcore/Deathcore","100","-612","494493"
"This Is Limp Bizkit","This Is ...","Spotify","Metal","Alternative Metal, Nu Metal","43","2620","479305"
"Maldita Hamburguesa","Editorial","Spotify","Rock, Metal","Alternative Rock, Hard Rock","60","970","467806"
"Extreme Metal","Editorial","Spotify","Metal","Death Metal, Black Metal","150","28","464089"
"Hard Rock","Editorial","Spotify","Rock, Metal","Alternative Rock, Metalcore/Deathcore","150","1800","440439"
"Need for Speed: Most Wanted (2005)","Indie Curator","Need for Speed","Hip Hop, Electronic, Metal","Contemporary Hip Hop","21","5127","434056"
"10s Metal Classics","Editorial","Spotify","Metal","Metalcore/Deathcore, Heavy Metal","75","-6","409834"
"Pegando Pesado","Editorial","Spotify","Rock, Metal","Alternative Rock, Hard Rock","100","0","396983"
"Metal Covers","Editorial","Spotify","Metal, Rock","Alternative Rock, Metalcore/Deathcore","50","1141","390061"
"This Is Volbeat","This Is ...","Spotify","Metal","Alternative Rock, Heavy Metal","48","429","386410"
"This Is Marilyn Manson","This Is ...","Spotify","Rock, Metal","Alternative Rock, Industrial Metal","50","931","383846"
"Industrial Metal","Editorial","Spotify","Rock, Metal","Alternative Rock, Industrial Metal","100","1878","371129"
"This Is Sabaton","This Is ...","Spotify","Metal","Heavy Metal, Power Metal","49","365","358957"
"This Is Mägo de Oz","This Is ...","Spotify","Metal","Alternative Rock, Folk Metal","50","1129","349131"
"Rock Rotation","Editorial","Spotify","Rock, Metal","Alternative Rock","100","-505","339938"
