"Playlist title","Playlist type","Playlist curator","Playlist genres","Playlist subgenres","Spotify tracks Alltime","Spotify followers growth 1m","Spotify followers Alltime"
"Dance Rising","Editorial","Spotify","Electronic, Hip Hop","House","75","-2358","1838307"
"Old School Hip-Hop House Party","Editorial","Spotify","Hip Hop","Contemporary Hip Hop","54","5539","1801075"
"I Love My '10s R&B","Editorial","Spotify","R&B, Hip Hop, Pop","Mainstream Pop, Contemporary R&B","100","4087","1781144"
"Workout Twerkout","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Trap, Alternative Hip Hop","50","612","1748507"
"Hot Hits Italia","Editorial","Spotify","Pop, Hip Hop","Mainstream Pop, Trap","50","288","1728131"
"GYM PHONK 2026 😈 AGGRESSIVE WORKOUT PHONK MUSIC","Indie Curator","Magic Records","Electronic, Hip Hop","Dance, Phonk","269","25373","1708345"
"Top 50 - Spain","Charts","Spotify","Latin, Hip Hop","Reggaeton","50","2662","1707089"
"Top 50 - Argentina","Charts","Spotify","Latin, Hip Hop","Reggaeton","50","6306","1706313"
"Hip-Hop Controller","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Trap, Alternative Hip Hop","100","-252","1685295"
"This Is Juice WRLD","This Is ...","Spotify","Hip Hop","Trap, Alternative Hip Hop","50","972","1657938"
"Hot Hits Türkiye","Editorial","Spotify","Hip Hop, Pop","Mainstream Pop, Contemporary Hip Hop, Arabic Pop","50","949","1645367"
"Hits da Internet","Editorial","Spotify","Latin, Hip Hop","Funk Carioca","74","6179","1643099"
"This Is Travis Scott","This Is ...","Spotify","Hip Hop","Contemporary Hip Hop, Trap","50","-157","1633028"
"tear drop","Editorial","Spotify","Hip Hop, Pop","Trap, Alternative Hip Hop","150","420","1629118"
"slowed and reverbed","Editorial","Spotify","Electronic, Pop, Hip Hop","Phonk","50","8285","1612039"
"PVNCHLNRS","Editorial","Spotify","Hip Hop","Mainstream Pop, Contemporary Hip Hop","39","1332","1610906"
"2000s HITS Y2K THROWBACKS","Indie Curator","Filtr US","Pop, Hip Hop, R&B","Mainstream Pop, Contemporary R&B","214","-2100","1589349"
"Spilled Ink","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Alternative Hip Hop","50","-1528","1570363"
"Jazz Rap","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Alternative Hip Hop","100","6519","1568006"
"Levitate","Editorial","Spotify","Pop, R&B, Hip Hop","Mainstream Pop, Indie Pop, Contemporary R&B","100","2297","1556537"
"O Trap Mais Caro","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Trap","55","-1030","1546721"
"Türkçe Pop","Editorial","Spotify","Pop, Hip Hop","Mainstream Pop, Arabic Pop","50","1977","1544969"
"Hot Hits Punjabi","Editorial","Spotify","Pop, Hip Hop","Contemporary Hip Hop, Indian Pop","50","10178","1506038"
"PEGAO","Editorial","Spotify","Latin, Hip Hop","Trap, Reggaeton","40","-1059","1495143"
"Trap Land","Editorial","Spotify","Latin, Hip Hop","Trap, Reggaeton, Latin Trap","100","-328","1492759"
"Throwback Workout","Editorial","Spotify","Hip Hop, Pop, R&B","Mainstream Pop, Contemporary Hip Hop, Contemporary R&B","75","1770","1490927"
"KALYE","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Alternative Hip Hop","60","9828","1478085"
"Mellow Beats","Editorial","Spotify","Electronic, Jazz, Hip Hop","Downtempo, Lo-Fi","80","-1314","1476894"
"Party Hits 2000s","Editorial","Spotify","Pop, Hip Hop","Mainstream Pop, Contemporary Hip Hop, Contemporary R&B","150","14537","1471156"
"Best of '00s Pop","Editorial","Spotify","Rock, Pop, Hip Hop","Mainstream Pop, Alternative Rock, Contemporary R&B","50","0","1468619"
"Acoustic Hits","Editorial","Spotify","Pop, Hip Hop","Mainstream Pop, Indie Pop, Folk Rock","125","-299","1466085"
"creme","Editorial","Spotify","Hip Hop, Latin","Contemporary Hip Hop, Trap, Funk Carioca","60","41320","1454525"
"This Is Kanye West","This Is ...","Spotify","Hip Hop","Contemporary Hip Hop, Alternative Hip Hop, Contemporary R&B","50","9380","1448162"
"Punjabi 101","Editorial","Spotify","Pop, Hip Hop","Contemporary Hip Hop, Indian Pop","101","3222","1434871"
"Summer Hits of the 10s","Editorial","Spotify","Pop, Hip Hop","Mainstream Pop","100","-1078","1412435"
"NKVT","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Alternative Hip Hop","50","351","1405992"
"Rap UK","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Alternative Hip Hop, Drill","80","299","1403528"
"Mellow Bars","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Alternative Hip Hop","102","1241","1398301"
"Gym Latino","Editorial","Spotify","Latin, Hip Hop, Pop","Reggaeton, Latin Pop","100","1561","1397528"
"Perreo Workout","Editorial","Spotify","Latin, Hip Hop","Reggaeton","100","-5628","1384744"
"Internet People","Editorial","Spotify","Hip Hop, Pop","Contemporary Hip Hop, Trap, Alternative Hip Hop","84","-1445","1362494"
"Puro Perreo","Editorial","Spotify","Latin, Hip Hop","Reggaeton","100","2294","1353966"
"Lana Del Rey Complete","Indie Curator","Lana Del Rey","Pop, Hip Hop","Mainstream Pop, Indie Pop","172","6875","1347445"
"POLLEN","Editorial","Spotify","Hip Hop, R&B, Electronic","Contemporary R&B","100","-738","1327292"
"Vanguard","Editorial","Spotify","R&B, Hip Hop, Pop","Contemporary R&B, Alternative R&B","150","-1936","1324568"
"shōnen","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Trap, Alternative Hip Hop","75","4481","1310643"
"This Is Paulo Londra","This Is ...","Spotify","Pop, Hip Hop, Latin","Trap, Latin Pop","49","1263","1307593"
"Jangueo","Editorial","Spotify","Latin, Hip Hop, Pop","Reggaeton","115","-5162","1303679"
"This Is Anuel AA","This Is ...","Spotify","Latin, Hip Hop","Trap, Reggaeton","50","2445","1279158"
"No Cap","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Trap, Alternative Hip Hop","100","1059","1269168"
"Out The Mud","Editorial","Spotify","Hip Hop","Contemporary Hip Hop, Trap, Alternative Hip Hop","101","2565","1258448"
"This Is Gorillaz","This Is ...","Spotify","Rock, Hip Hop","Contemporary Hip Hop, Alternative Hip Hop, Alternative Rock","46","5698","1232332"
"This Is 2Pac","This Is ...","Spotify","Hip Hop","Contemporary Hip Hop, Alternative Hip Hop","50","1972","1228165"
"Ultra Gaming","Editorial","Spotify","Electronic, Hip Hop","Dance, Phonk","100","4941","1227955"
"Fresh Finds","Editorial","Spotify","Hip Hop, Rock","Contemporary Hip Hop, Alternative Rock","100","53","1221759"
"Top Verano 2026","Editorial","Spotify","Latin, Pop, Hip Hop","Reggaeton, Latin Pop, Other Latin Music","100","7153","1203744"
