Festival,Festival_Month,Festival_Month_Num,Rank,Country,Alltime_Audience_M
Lollapalooza Brasil,March,3,1,USA,768.2
Lollapalooza Brasil,March,3,2,BRA,682.9
Lollapalooza Brasil,March,3,3,MEX,122.9
Lollapalooza Brasil,March,3,4,GBR,109.4
Lollapalooza Brasil,March,3,5,IND,98.6
Lollapalooza Brasil,March,3,6,IDN,76.3
Lollapalooza Brasil,March,3,7,CAN,61.9
Lollapalooza Brasil,March,3,8,ITA,59.3
Lollapalooza Brasil,March,3,9,ARG,55.0
Lollapalooza Brasil,March,3,10,PHL,55.0
