Festival,Year,Festival_Month,Festival_Month_Num,Festival_Dates,Artist,Artist_Country,Viberate_Rank_Overall,Viberate_Rank_Genre,Viberate_Rank_Subgenre,Genre,Subgenre,Festival_Performances_Last_12M
Lollapalooza Brasil,2026,March,3,"Mar 20-22",KATSEYE,USA,15,12,12,Pop,Mainstream Pop,6 Festivals
Lollapalooza Brasil,2026,March,3,"Mar 20-22",Sabrina Carpenter,USA,19,15,14,Pop,Mainstream Pop,9 Festivals
Lollapalooza Brasil,2026,March,3,"Mar 20-22",Tyler the Creator,USA,207,32,30,Hip Hop,Contemporary Hip Hop,12 Festivals
Lollapalooza Brasil,2026,March,3,"Mar 20-22",Skrillex,USA,313,13,1,Electronic,Dubstep,8 Festivals
Lollapalooza Brasil,2026,March,3,"Mar 20-22",Lewis Capaldi,GBR,326,144,92,Pop,Mainstream Pop,5 Festivals
Lollapalooza Brasil,2026,March,3,"Mar 20-22",Chappell Roan,USA,388,164,22,Pop,Indie Pop,22 Festivals
Lollapalooza Brasil,2026,March,3,"Mar 20-22",Deftones,USA,438,6,5,Metal,Alternative Metal,20 Festivals
Lollapalooza Brasil,2026,March,3,"Mar 20-22",Lorde,NZL,450,187,24,Pop,Indie Pop,7 Festivals
Lollapalooza Brasil,2026,March,3,"Mar 20-22",Kygo,NOR,452,17,18,Electronic,Dance,14 Festivals
Lollapalooza Brasil,2026,March,3,"Mar 20-22",Addison Rae,USA,537,216,128,Pop,Mainstream Pop,7 Festivals
Lollapalooza Brasil,2025,March,3,"Mar 28-30",Olivia Rodrigo,USA,41,26,24,Pop,Mainstream Pop,14 Festivals
Lollapalooza Brasil,2025,March,3,"Mar 28-30",Shawn Mendes,CAN,74,41,38,Pop,Mainstream Pop,6 Festivals
Lollapalooza Brasil,2025,March,3,"Mar 28-30",Justin Timberlake,USA,99,52,46,Pop,Mainstream Pop,13 Festivals
Lollapalooza Brasil,2025,March,3,"Mar 28-30",Tate McRae,CAN,161,80,60,Pop,Mainstream Pop,3 Festivals
Lollapalooza Brasil,2025,March,3,"Mar 28-30",Teddy Swims,USA,185,90,66,Pop,Mainstream Pop,5 Festivals
Lollapalooza Brasil,2025,March,3,"Mar 28-30",Benson Boone,USA,297,130,84,Pop,Mainstream Pop,11 Festivals
Lollapalooza Brasil,2025,March,3,"Mar 28-30",Zedd,USA,573,18,21,Electronic,Dance,19 Festivals
Lollapalooza Brasil,2025,March,3,"Mar 28-30",The Marías,USA,619,240,34,Pop,Indie Pop,4 Festivals
Lollapalooza Brasil,2025,March,3,"Mar 28-30",Empire Of The Sun,AUS,742,285,43,Pop,Indie Pop,9 Festivals
Lollapalooza Brasil,2025,March,3,"Mar 28-30",Rüfüs Du Sol,AUS,1121,39,42,Electronic,Dance,9 Festivals
Lollapalooza Brasil,2024,March,3,"Mar 22-24",SZA,USA,89,1,9,R&B,Contemporary R&B,0 Festival
Lollapalooza Brasil,2024,March,3,"Mar 22-24",Sam Smith,GBR,124,62,50,Pop,Mainstream Pop,1 Festival
Lollapalooza Brasil,2024,March,3,"Mar 22-24",Hozier,IRL,323,9,3,R&B,Soul,20 Festivals
Lollapalooza Brasil,2024,March,3,"Mar 22-24",Paramore,USA,393,29,19,Rock,Alternative Rock,0 Festival
Lollapalooza Brasil,2024,March,3,"Mar 22-24",Limp Bizkit,USA,506,9,7,Metal,Alternative Metal,2 Festivals
Lollapalooza Brasil,2024,March,3,"Mar 22-24",The Offspring,USA,510,3,2,Punk,Punk Rock,5 Festivals
Lollapalooza Brasil,2024,March,3,"Mar 22-24",blink-182,USA,560,4,3,Punk,Punk Rock,7 Festivals
Lollapalooza Brasil,2024,March,3,"Mar 22-24",Luísa Sonza,BRA,565,226,60,Pop,Latin Pop,4 Festivals
Lollapalooza Brasil,2024,March,3,"Mar 22-24",MC Livinho,BRA,637,117,11,Latin,Funk Carioca,1 Festival
Lollapalooza Brasil,2024,March,3,"Mar 22-24",Diplo,USA,650,21,23,Electronic,Dance,9 Festivals
Lollapalooza Brasil,2023,March,3,"Mar 24-26",Drake,CAN,5,1,1,Hip Hop,Contemporary Hip Hop,1 Festival
Lollapalooza Brasil,2023,March,3,"Mar 24-26",Billie Eilish,USA,8,6,6,Pop,Mainstream Pop,0 Festival
Lollapalooza Brasil,2023,March,3,"Mar 24-26",Tame Impala,AUS,144,13,1,Rock,Psychedelic Rock,1 Festival
Lollapalooza Brasil,2023,March,3,"Mar 24-26",ROSALÍA,ESP,160,79,13,Pop,Latin Pop,0 Festival
Lollapalooza Brasil,2023,March,3,"Mar 24-26",Melanie Martinez,USA,233,106,13,Pop,Indie Pop,0 Festival
Lollapalooza Brasil,2023,March,3,"Mar 24-26",Kali Uchis,COL,284,8,22,R&B,Contemporary R&B,1 Festival
Lollapalooza Brasil,2023,March,3,"Mar 24-26",Pedro Sampaio,BRA,304,134,35,Pop,Latin Pop,5 Festivals
Lollapalooza Brasil,2023,March,3,"Mar 24-26",Cigarettes After Sex,USA,307,137,15,Pop,Indie Pop,0 Festival
Lollapalooza Brasil,2023,March,3,"Mar 24-26",Lil Nas X,USA,359,61,23,Hip Hop,Alternative Hip Hop,0 Festival
Lollapalooza Brasil,2023,March,3,"Mar 24-26",Dominic Fike,USA,382,162,21,Pop,Indie Pop,5 Festivals
Lollapalooza Brasil,2022,March,3,"Mar 25-27",Miley Cyrus,USA,45,28,26,Pop,Mainstream Pop,0 Festival
Lollapalooza Brasil,2022,March,3,"Mar 25-27",Doja Cat,USA,61,34,34,Pop,Mainstream Pop,3 Festivals
Lollapalooza Brasil,2022,March,3,"Mar 25-27",Alan Walker,NOR,72,3,3,Electronic,Dance,15 Festivals
Lollapalooza Brasil,2022,March,3,"Mar 25-27",A$AP Rocky,USA,179,27,26,Hip Hop,Contemporary Hip Hop,8 Festivals
Lollapalooza Brasil,2022,March,3,"Mar 25-27",Kehlani,USA,195,6,17,R&B,Contemporary R&B,2 Festivals
Lollapalooza Brasil,2022,March,3,"Mar 25-27",Martin Garrix,NLD,247,9,10,Electronic,Dance,20 Festivals
Lollapalooza Brasil,2022,March,3,"Mar 25-27",Alok,BRA,275,11,12,Electronic,Dance,18 Festivals
Lollapalooza Brasil,2022,March,3,"Mar 25-27",Foo Fighters,USA,384,28,17,Rock,Alternative Rock,2 Festivals
Lollapalooza Brasil,2022,March,3,"Mar 25-27",Machine Gun Kelly,USA,467,85,66,Hip Hop,Contemporary Hip Hop,0 Festival
Lollapalooza Brasil,2022,March,3,"Mar 25-27",Alessia Cara,CAN,700,269,148,Pop,Mainstream Pop,4 Festivals
Lollapalooza Brasil,2019,March,3,"Apr 5-7",Kendrick Lamar,USA,50,5,6,Hip Hop,Contemporary Hip Hop,3 Festivals
Lollapalooza Brasil,2019,March,3,"Apr 5-7",Post Malone,USA,54,7,2,Hip Hop,Alternative Hip Hop,12 Festivals
Lollapalooza Brasil,2019,March,3,"Apr 5-7",Sam Smith,GBR,124,62,50,Pop,Mainstream Pop,1 Festival
Lollapalooza Brasil,2019,March,3,"Apr 5-7",Arctic Monkeys,GBR,136,11,1,Rock,Indie Rock,0 Festival
Lollapalooza Brasil,2019,March,3,"Apr 5-7",Twenty One Pilots,USA,139,69,7,Pop,Indie Pop,2 Festivals
Lollapalooza Brasil,2019,March,3,"Apr 5-7",Tiësto,NLD,294,12,13,Electronic,Dance,25 Festivals
Lollapalooza Brasil,2019,March,3,"Apr 5-7",LANY,USA,512,209,27,Pop,Indie Pop,4 Festivals
Lollapalooza Brasil,2019,March,3,"Apr 5-7",Macklemore,USA,531,100,77,Hip Hop,Contemporary Hip Hop,7 Festivals
Lollapalooza Brasil,2019,March,3,"Apr 5-7",Bring Me the Horizon,GBR,567,11,1,Metal,Metalcore/Deathcore,10 Festivals
Lollapalooza Brasil,2019,March,3,"Apr 5-7",Troye Sivan,AUS,605,236,32,Pop,Indie Pop,2 Festivals
Lollapalooza Brasil,2018,March,3,"Mar 23-25",Lana Del Rey,USA,31,21,20,Pop,Mainstream Pop,1 Festival
Lollapalooza Brasil,2018,March,3,"Mar 23-25",Imagine Dragons,USA,47,4,5,Rock,Pop Rock,4 Festivals
Lollapalooza Brasil,2018,March,3,"Mar 23-25",Zara Larsson,SWE,57,33,32,Pop,Mainstream Pop,1 Festival
Lollapalooza Brasil,2018,March,3,"Mar 23-25",Alan Walker,NOR,72,3,3,Electronic,Dance,15 Festivals
Lollapalooza Brasil,2018,March,3,"Mar 23-25",Wiz Khalifa,USA,88,15,16,Hip Hop,Contemporary Hip Hop,1 Festival
Lollapalooza Brasil,2018,March,3,"Mar 23-25",Red Hot Chili Peppers,USA,120,10,1,Rock,Funk Rock,0 Festival
Lollapalooza Brasil,2018,March,3,"Mar 23-25",DJ Snake,FRA,152,7,8,Electronic,Dance,27 Festivals
Lollapalooza Brasil,2018,March,3,"Mar 23-25",Tyler the Creator,USA,207,32,30,Hip Hop,Contemporary Hip Hop,13 Festivals
Lollapalooza Brasil,2018,March,3,"Mar 23-25",The Neighbourhood,USA,222,18,2,Rock,Indie Rock,0 Festival
Lollapalooza Brasil,2018,March,3,"Mar 23-25",Khalid,USA,240,109,74,Pop,Mainstream Pop,2 Festivals
