Festival,Festival_Month,Festival_Month_Num,Category,Segment,Value_Absolute_B,Value_Percent
Glastonbury Festival,June,6,Gender,Female,1.4,57.3
Glastonbury Festival,June,6,Gender,Male,1.0,42.7
