Festival,Festival_Month,Festival_Month_Num,Rank,Country,YouTube_Views_Monthly_B,Spotify_Listeners_Monthly_M
Glastonbury Festival,June,6,1,USA,1.1,290.3
Glastonbury Festival,June,6,2,GBR,0.31,198.8
Glastonbury Festival,June,6,3,BRA,0.30,46.7
Glastonbury Festival,June,6,4,MEX,0.27,37.8
Glastonbury Festival,June,6,5,IND,0.17,16.4
Glastonbury Festival,June,6,6,PHL,0.15,31.9
Glastonbury Festival,June,6,7,IDN,0.15,53.2
Glastonbury Festival,June,6,8,FRA,0.13,20.7
Glastonbury Festival,June,6,9,ARG,0.12,8.8
Glastonbury Festival,June,6,10,CAN,0.11,56.8
