rank,city,venues,festivals,events
1,Amsterdam,531,96,4490
2,Utrecht,96,18,1653
3,Rotterdam,117,54,1003
4,Groningen,82,18,905
5,Tilburg,57,14,569
6,Eindhoven,73,35,836
7,Arnhem,39,13,313
8,Nijmegen,57,23,434
9,The Hague,74,18,487
10,Haarlem,42,5,664
