platform,genre,share_percent
Overall,Pop,43
Overall,Hip Hop,19
Overall,Rock,14
Overall,Other,24
YouTube,Pop,44
YouTube,Hip Hop,19
YouTube,Rock,13
YouTube,Other,24
Deezer,Pop,45
Deezer,Rock,30
Deezer,R&B,10
Deezer,Other,15
