platform,genre,share_percent
Overall,Pop,37
Overall,Hip Hop,19
Overall,Rock,17
Overall,Other,27
YouTube,Pop,36
YouTube,Hip Hop,21
YouTube,Rock,15
YouTube,Other,28
Deezer,Pop,42
Deezer,Rock,30
Deezer,Hip Hop,8
Deezer,Other,20
