section,metric,value,notes
Austria Overview,Radio Stations,281,Overall
Austria Overview,Artists,8000,Overall
Austria Overview,Venues,1600,Overall
Austria Overview,Festivals,116,Overall
Austria Overview,Events,5300,2 years
