rank,subgenre,parent_genre,points_million
1,Mainstream Pop,Pop,3.6
2,Schlager,European,1.7
3,Indie Pop,Pop,1.5
4,Alternative Rock,Rock,1.4
5,Opera,Classical,0.9497
6,Pop Rock,Rock,0.9477
7,Contemporary Hip Hop,Hip Hop,0.8919
8,Indie Rock,Rock,0.8549
9,Chamber Music,Classical,0.6819
10,Orchestral,Classical,0.643
