rank,subgenre,parent_genre,points_thousand
1,Mainstream Pop,Pop,308.4
2,Hard Rock,Rock,120.0
3,Pop Rock,Rock,117.1
4,Indian Pop,Pop,61.6
5,Dance,Electronic,52.3
6,House,Electronic,40.2
7,Glam Metal,Metal,40.0
8,Indie Rock,Rock,39.0
9,Techno,Electronic,36.0
10,Indie Pop,Pop,33.2
