platform,genre,share_percent
Overall,Pop,38
Overall,Hip Hop,30
Overall,Rock,12
Overall,Other,20
YouTube,Pop,38
YouTube,Hip Hop,31
YouTube,Rock,11
YouTube,Other,20
Deezer,Pop,37
Deezer,Rock,34
Deezer,Hip Hop,10
Deezer,Other,19
