rank,city,venues,festivals,events
1,Berlin,1008,55,11495
2,Munich,259,24,4272
3,Hamburg,392,34,5901
4,Schenefeld,131,0,1037
5,Cologne,391,20,5145
6,Frankfurt,160,14,2225
7,Leipzig,230,11,2595
8,Stuttgart,209,5,2320
9,Mannheim,72,18,776
10,Hanover,144,12,2131
