Festival,Festival_Month,Festival_Month_Num,Category,Segment,Value_Absolute_B,Value_Percent
Festival Estereo Picnic,March,3,Gender,Female,1.3,56.8
Festival Estereo Picnic,March,3,Gender,Male,0.9913,43.2
